Percent unemployed,Vehicles per household,Median Income,Household Density,Day population density,Percent below poverty level,Residential Area,Commerical/Industrial/MU Area,Other Area,Undeveloped Area,Developed Open Space Area,Developed Low Intensity Area,Developed Medium Intensity Area,Developed High Intensity Area,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Net Passengers
11.64,1,19668,1368.252774,5158.5,39.51,97470.66202,136205.9178,10529.18391,6360,149310,805860,638850,409950,199,17,603,462,545,0
13.2,0,19814,1065.484976,2396.3,39.5,119652.4999,41107.68039,2290.658205,420630,600120,767310,173520,48480,79,12,704,466,639,0
19.17,1,15915,586.2099905,1409.4,39.38,46377.75697,42916.61011,210.0504002,763590,373560,388350,141900,146910,19,2,240,455,630,0
13.77,1,21077,1624.639119,4863.4,39.35,121954.4288,128551.2245,11623.74675,104250,421770,864240,383760,236640,140,11,831,440,490,0
10.09,1,18790,832.2893577,2514.8,39.33,59659.80691,74297.5629,24363.54894,191850,639840,647610,386670,144270,80,48,363,456,655,0
13.43,1,20299,1252.299151,2571.5,39.33,137787.7116,31247.44652,4662.138092,420990,463260,834420,254190,37440,71,18,777,482,648,0
13.84,0,19837,1423.652849,3030.1,38.98,149488.5645,44822.49977,2654.208318,270180,508620,952830,235620,42330,93,15,885,480,654,0
6.26,0,22085,1346.350437,30800.1,38.97,36631.50142,226069.2428,64644.43899,314820,123270,310710,617190,644310,108,24,30,556,664,1
11.11,1,28495,1324.448085,3416.6,38.95,159123.7553,92853.12291,10779.18678,107790,401580,1035660,345930,118860,92,13,1095,549,788,0
6.3,0,22037,1343.773688,28486.2,38.94,35478.39078,220733.757,64644.43899,356310,125850,297840,599580,630600,104,24,35,553,661,0
1.23,2,18847,307.9212965,2818.9,38.93,26212.33136,115081.6338,22258.74055,239100,404190,472110,526800,368070,117,13,156,602,718,0
13.6,1,21771,1570.527455,4604.5,38.77,123182.2909,130525.791,11977.6545,103020,414510,872490,385260,235440,140,13,840,452,505,0
8.09,0,16907,1793.416066,14089.2,38.73,57111.29833,302098.1746,26746.5022,7260,22560,340440,639450,1000980,177,16,181,406,435,0
10.6,2,28564,1323.159724,3455.3,38.53,156523.4952,95184.91548,11178.36729,99570,390570,1041000,356220,123120,99,16,1080,558,792,0
10.35,2,28715,1263.894501,3394.7,38.51,153409.6071,95297.43833,11329.49941,102180,388890,1032420,358140,128760,100,17,1060,566,795,0
1.29,1,15686,386.5120827,2273.9,38.44,23316.42695,140622.3718,2346.182421,70470,167970,616500,605520,550290,131,12,116,309,371,0
14.09,0,20175,1562.797204,3253,38.11,154844.5781,45271.34979,2817.16852,258720,487110,978480,244710,41610,96,16,923,486,661,0
7.04,0,21648,1795.992827,39247.6,37.93,49090.27557,261647.8846,73349.73242,11220,61470,318480,669510,949950,148,25,59,590,682,0
10.55,1,27999,764.0055628,2923.2,37.82,90873.03637,147820.7165,61980.67844,57300,151500,779670,635580,386550,168,12,635,568,805,1
6.87,0,20757,1732.862517,27525.1,37.78,52450.05034,342240.9183,36872.25017,7590,17820,224580,555480,1204170,180,18,53,508,607,1
10.75,1,20737,1455.862191,5358.2,37.75,102266.4095,126233.244,10979.91847,9120,144690,816120,652200,388350,197,17,631,469,576,0
9.79,2,29302,1254.875895,3478.5,37.74,149572.3658,89369.28019,10691.71981,99570,385680,989310,391380,144000,112,16,1037,578,802,0
7.71,0,18385,1832.067279,21165.9,37.69,62866.56065,356487.634,31108.56347,5610,12150,247680,620670,1124280,188,20,177,425,460,0
11.4,1,28347,1455.862191,3537.7,37.61,167393.7795,80371.72438,10823.62,86760,392160,1066800,354720,109800,91,13,1137,538,771,0
12.59,0,20799,854.1917104,1957,37.46,108477.1009,42959.31145,4304.628453,452910,583560,737010,180390,56160,80,15,639,474,654,0
17.36,1,17199,385.2237135,776.9,37.44,55227.07295,3526.452381,1663.312241,764790,575190,318990,62640,79020,7,7,401,454,628,0
11.3,1,28250,1444.266812,3493.9,37.38,166564.3462,83199.32215,10823.62,85860,395040,1054110,361290,113850,91,13,1126,537,768,0
12.96,1,23677,1369.541173,4292.7,37.36,128896.5974,129321.1654,11724.86707,107250,414450,885360,366900,236370,132,11,880,469,531,0
6.85,0,22613,1780.532332,40025.8,37.2,49563.67791,266595.9937,73349.73242,12120,60150,307680,691110,939360,152,25,59,620,703,0
6.86,0,22612,1774.090482,39504,37.2,50614.84734,267873.5353,73431.54222,11370,56670,297330,693480,951450,155,26,62,616,701,0
7.55,0,18658,1839.797528,20742.1,37.18,58960.3835,351785.0568,31239.37979,5610,12030,244290,622110,1126080,192,21,191,429,468,0
15.09,0,20143,1640.099613,3679.5,37.16,183557.0518,51857.51952,3471.339795,125220,396600,1160070,283080,45360,98,21,1111,500,671,0
14.81,0,20208,1651.694971,3679.5,37.12,177596.3921,48827.66899,3281.088553,163590,404940,1127940,270510,42930,98,20,1075,495,671,0
12.96,1,24346,1351.503907,3405.1,37.1,131905.4147,120361.5018,11724.86707,112170,407040,896730,363090,231270,121,11,900,475,543,0
8.55,2,29599,1196.899093,3550.6,37.1,140713.1678,96822.64895,10181.73574,104940,366900,948180,424290,165870,139,15,968,602,812,0
9.93,1,23092,963.703483,3598.3,36.96,79097.70413,88073.3627,6957.466056,53970,547710,601320,511740,295500,148,19,445,478,593,0
8.5,2,29577,1156.95949,3477.2,36.95,141267.2643,98570.00886,10466.24739,100050,367080,952080,426660,164370,139,16,976,603,821,0
11.41,1,27865,1375.983032,3679.5,36.94,152780.3729,106255.7412,10809.83972,106950,413250,968130,378420,144000,104,13,1029,531,751,0
7.11,0,21654,1784.397448,24274.7,36.85,56132.69178,365393.2988,32307.15902,7590,15540,221040,563580,1202730,189,17,64,519,623,0
11.51,1,27842,1375.983028,3688.5,36.61,151324.4185,107582.6253,10970.78744,112260,406230,959310,384720,147390,105,14,1026,529,750,0
8.36,2,29627,1164.689738,3414.1,36.59,134119.1461,109379.3362,2153.041383,105450,326580,931440,449580,197400,150,14,925,604,808,0
8.23,2,29886,1180.150224,3298.1,36.59,131846.1497,111539.8917,1868.52973,108660,326550,925920,447180,201780,152,13,915,603,801,0
11.86,1,27111,1329.601566,3515.8,36.59,146738.0957,107800.5565,10612.52353,123630,391650,952980,383010,158970,107,12,998,522,729,1
10.94,0,22449,867.0754432,2030.4,36.45,97513.88224,46395.44337,3432.563658,468600,557790,694410,212940,77100,66,12,574,462,646,0
10.94,0,22449,867.0754399,2030.4,36.45,96994.41471,46549.20696,3432.563658,467070,555150,694620,216000,77400,66,12,571,462,646,0
11.85,1,26969,1314.141113,3465.6,36.4,146275.3426,111016.1292,10612.52353,121860,388530,950580,382830,166320,107,12,997,519,718,0
6.39,0,24218,1582.12279,32362.8,36.38,42258.43501,213886.8744,64940.29291,292800,113070,309450,630840,663720,112,25,55,640,711,0
6.39,0,24218,1582.122798,32362.8,36.38,40871.39544,201648.414,64940.29291,315930,116280,305700,621000,651240,109,25,51,640,711,0
6.75,0,23963,1820.471912,38545.5,36.36,45754.38773,319422.1545,69389.62103,7680,36300,269610,649500,1046760,170,24,59,653,718,0
6.46,0,23280,1741.881148,26833.3,36.31,51085.09525,366888.5217,36872.25017,7590,13980,210960,561120,1217130,190,18,50,557,683,0
6.38,0,24315,1605.313517,33084.3,36.31,46762.14897,226087.494,64940.29291,224550,103440,318750,655980,707580,120,25,59,640,710,0
12.04,1,26394,1293.52711,3366.4,36.28,140885.3241,116955.2689,10571.85057,121890,388920,937740,370740,190830,109,11,964,508,694,0
6.62,0,24083,1493.225003,37748,36.24,47737.69482,367733.7499,43808.6143,7590,18240,209880,603600,1171200,195,18,31,705,733,0
15.4,0,20223,620.9960787,3016,36.18,63721.28229,77958.20681,41081.11494,41970,409500,763320,348150,447570,78,12,397,515,676,0
9.47,2,28214,778.1776607,2838.2,36.13,94110.83212,151556.7406,62169.60622,61620,159240,810840,606330,372690,175,13,661,591,824,0
6.74,0,24286,1732.862533,39978.1,36.01,51921.13109,279389.0545,73152.06027,10080,42000,270900,686820,1000140,166,25,65,672,721,0
1.06,2,20770,349.1492484,2786.7,35.99,29335.35228,111821.645,22352.5781,258420,456000,474600,494640,326400,112,14,177,604,720,0
11.49,0,22899,570.7495124,2599.8,35.91,66513.80588,77372.24374,41420.214,58680,403080,778710,359790,410520,76,16,448,527,699,0
9.87,2,28160,886.4010532,2907.8,35.88,99304.97543,127668.1564,39832.59799,76410,187290,850740,548520,347010,167,12,707,578,808,0
12.13,1,26332,1267.75962,3313.6,35.84,140303.7476,122806.8414,10702.98892,118050,386520,935100,368310,202080,113,12,962,504,680,0
6.67,0,24689,1775.378828,36440.4,35.81,49644.34329,283638.9684,73405.28789,14640,30660,270060,705300,989580,175,26,66,697,725,0
6.98,0,19299,1754.764876,15139.1,35.79,65916.60605,317707.0618,27108.11032,6660,17640,324630,645000,1016160,190,19,232,436,492,0
10.07,2,27879,823.2707371,2825.3,35.78,94952.58207,127130.0146,61948.86632,76440,186780,839160,555930,351780,165,12,675,574,807,0
6.71,0,24715,1713.53692,39945.9,35.77,50920.40791,274654.8494,73592.83245,11040,42270,274020,694860,988260,166,27,64,694,724,0
11.63,0,22985,547.5587781,2554.8,35.73,65348.30724,76450.06405,41420.214,52650,398880,774120,360570,423720,74,16,439,528,697,0
15.49,0,20093,671.2426502,3104.9,35.7,65878.52854,81324.85469,41081.11494,41970,417090,778410,346860,425580,81,12,409,516,676,0
15.6,0,20686,1748.323001,4051.8,35.64,184087.2694,52405.66643,16099.16252,13590,362490,1217220,336360,80520,81,22,1112,507,680,0
11.15,0,22217,814.2521271,1924.8,35.5,100672.5416,37030.50748,4279.255991,460890,583980,708900,184380,72000,64,15,592,474,653,0
11.15,0,22217,814.2521239,1924.8,35.5,100670.1212,34671.15355,4279.255991,472920,587100,700290,180270,69450,63,15,591,474,653,0
8.05,2,29422,1142.787398,3242.7,35.45,130504.3087,111431.638,5125.377272,107610,300240,926190,443160,232770,155,14,914,606,805,0
6.61,0,23794,1620.774012,24532.3,35.39,54907.17379,366273.6352,32307.15902,7590,12600,206910,570180,1212780,192,17,63,536,667,0
8.1,2,29446,1172.41999,3282.7,35.37,131599.3056,107294.5891,5125.377272,110310,301920,922980,436170,239040,149,14,919,606,806,0
6.2,0,25454,1875.871994,39398.4,35.32,50538.32873,273123.7836,70015.21916,19740,75030,332070,721140,862350,149,25,61,711,739,0
6.9,0,19843,1717.402027,15506.3,35.31,64989.10274,343555.6446,28287.19142,7260,14430,292740,634140,1061850,198,21,228,441,507,0
15.76,0,19715,859.3452037,3473.3,35.31,87489.47924,66581.51512,32596.27956,41970,379800,886800,388320,313170,81,16,551,516,676,0
6.49,0,25575,1499.666894,36659.4,35.26,44761.42293,377775.126,35977.44174,7590,16170,170970,620730,1194450,208,17,26,718,751,1
15.66,0,20882,1777.955585,4103.3,35.25,182436.0915,52560.60713,16099.16252,18060,350760,1203090,339870,98610,82,22,1100,508,683,3
9.91,1,22532,1433.959834,5328.5,35.2,117566.634,113682.3497,8249.583776,10890,154740,834720,614610,395580,193,14,734,477,607,0
6.55,0,25579,1900.351068,40360.7,35.14,48237.19372,256660.2528,74677.50723,19860,68430,318150,746820,857790,159,27,62,712,741,0
6.41,0,25579,1900.351088,37943.8,35.14,50623.31815,240278.8826,74677.50723,26250,72120,341130,740010,830370,144,27,63,712,741,0
6.56,0,25553,1918.388301,40569.4,35.13,48695.5251,283071.6814,73684.76985,11250,52260,288630,717090,941100,169,27,62,711,739,1
6.56,0,25553,1915.811561,40505,35.13,49490.47913,266103.5979,74715.86391,11640,58680,305460,738180,896280,165,28,63,711,739,0
15.58,0,20693,1445.5552,3371.6,35.12,157649.4141,56074.77716,16036.08264,7380,353520,1186170,333600,129600,83,22,981,514,681,0
6.18,0,25536,1882.313864,33923,35.12,49029.68369,259584.1856,73111.41184,111930,98940,340620,702090,756240,130,27,63,711,740,0
6.49,0,25719,1511.262237,38369,35.07,45510.00951,365014.8016,43979.50465,10050,21420,203370,647310,1128150,199,19,35,720,752,0
6.21,0,25628,1877.16036,33790.3,35.04,47627.68771,233162.0638,73111.41184,152280,93060,328080,691740,745170,128,27,60,712,741,1
8.99,1,25341,939.2243681,3468.2,35,91157.32046,86319.43757,6106.822153,48960,548010,633660,523410,256440,143,21,518,487,612,1
6.34,1,21442,740.8148346,2923.2,35,62519.71521,69010.66567,18956.74247,212610,706680,617010,349500,124620,78,29,381,485,683,0
15.96,0,19699,872.2289332,3513.3,34.97,93623.02971,68454.73791,31591.35838,41970,388800,925020,387630,266910,85,17,591,517,676,0
8.97,1,25311,925.0522547,3423.1,34.94,89443.694,86719.64807,6106.822153,54930,564630,619800,512070,258750,142,21,513,486,611,0
9.75,1,22863,1386.290001,5359.4,34.89,117088.1869,112630.9571,8249.583776,10890,154890,833940,613740,396900,194,14,729,479,610,0
9.87,0,26017,560.4425285,2590.8,34.83,68987.6003,92070.09219,42545.98734,134070,402690,751800,387210,334740,84,21,480,541,719,0
15.3,0,20056,994.6244363,3719.4,34.82,103272.9534,67873.07065,12414.20597,37890,373740,971550,391890,234990,85,20,647,517,678,0
6.29,0,25302,1622.062376,26584.6,34.82,47953.0843,372344.849,36872.25017,7590,13380,200340,565770,1222830,191,18,43,644,721,0
15.58,1,21488,1940.290665,4161.3,34.8,203371.4484,45832.71112,4825.991144,47940,345990,1198560,360390,57210,84,24,1267,510,689,0
15.6,1,21563,1942.8674,3861.1,34.78,204652.0479,41387.69066,4594.960841,47940,347790,1199610,368730,46830,84,23,1286,510,690,0
15.57,0,20977,1650.406612,3714.2,34.77,175173.0002,52297.66779,16099.16252,13020,354660,1198830,337710,105990,80,22,1069,512,684,0
6.61,0,19599,1337.33182,12280.3,34.76,60281.78298,308330.4981,16874.50652,8010,16860,319980,668940,996600,187,17,216,419,455,0
15.6,1,22031,1833.35566,3689.8,34.75,198035.8066,40550.16966,6363.641215,47940,355590,1156530,402390,47670,77,25,1253,511,693,0
9.3,2,28260,819.4056258,2826.6,34.72,97323.51796,133415.0492,39962.84328,79560,189540,845940,544800,350850,165,13,694,593,811,0
15.62,1,21037,1799.85795,4136.8,34.72,194311.6044,58079.64177,16259.33952,35670,342090,1190700,343200,98640,86,24,1178,509,685,0
15.57,1,21120,1820.471905,4180.6,34.68,197796.8999,58025.55935,16359.89493,37380,340620,1194630,344040,93060,89,25,1196,510,686,0
15.52,0,21044,1655.560092,3832.8,34.62,178469.4047,57196.4477,15899.77598,19650,347280,1193310,339330,110700,80,21,1083,513,685,0
6.54,0,25874,1954.462777,35036.1,34.57,49337.10058,230846.0742,74677.50723,117300,81090,309720,721740,780630,144,27,66,715,746,1
6.54,0,25874,1954.462792,35036.1,34.57,49921.29801,232093.931,74677.50723,120480,81600,308280,721650,778050,145,27,68,715,746,0
15.54,1,21333,1850.104519,4190.9,34.55,198512.968,56682.06997,16693.33534,42540,335100,1185450,359940,87210,91,27,1211,511,688,0
7.93,2,29250,1135.057164,3240.1,34.45,128491.0612,103166.5387,4750.030178,108150,289200,908310,420600,267750,149,12,908,606,801,0
15.7,0,21178,1656.848487,3729.7,34.33,165283.2237,57234.87694,15899.77598,26820,341520,1138500,345000,158100,78,21,1012,514,687,0
7.92,2,29252,1120.88504,3168,34.31,126040.3604,107635.3606,4750.030178,108870,286320,899340,410640,264930,150,12,898,605,799,0
9.18,0,26618,611.9774658,2777.6,34.21,74397.18276,93287.96331,42784.37774,197340,415530,737040,382890,276960,88,23,523,543,731,0
15.85,0,21142,1625.927522,3670.4,34.14,160105.9081,57436.34416,15899.77598,32070,337350,1110540,353400,176820,79,21,985,514,688,0
9.1,2,28128,846.4614719,2896.2,34.13,98525.31613,134288.074,43121.87136,77670,198930,817710,537780,348030,165,13,694,595,808,0
9.11,2,28103,824.5591171,2864,34.1,95433.48242,134981.3337,43611.95925,79290,193200,814050,549810,353280,165,15,676,591,805,0
11.57,1,23588,780.754412,4002.8,34.04,72687.34625,131564.0532,33229.59102,0,192300,554190,689430,574200,95,69,446,517,716,0
15.5,1,22713,1933.848787,3767.1,33.99,204065.7134,38347.44401,4812.766501,45780,341640,1163880,418560,40140,72,21,1296,515,703,0
15.59,1,22862,1972.500026,3799.3,33.79,206331.3162,38234.8143,5146.248634,42090,339690,1175580,415740,36960,71,23,1311,515,706,1
6.38,0,21916,1618.197265,15215.2,33.75,61649.734,345026.5626,27654.44428,5940,14670,288630,637830,1063620,198,20,219,471,563,0
6.4,0,21822,1610.467015,14994.8,33.75,61665.67073,324342.7549,20826.0114,6480,15240,300030,643200,1045410,193,18,220,471,563,0
15.57,0,21038,1226.531684,4090.4,33.72,133598.3115,55168.32913,16000.17596,13890,374340,1107510,353010,161220,84,22,836,520,686,0
12.04,1,23604,726.642707,3924.2,33.71,69254.6294,129690.0421,37412.86009,1710,191460,541320,692040,583590,94,69,428,515,716,0
9.51,1,23714,1332.17831,5006.4,33.63,116987.2893,116139.2736,8303.142976,10890,162390,847380,577980,411570,199,15,728,482,618,0
9.51,1,23714,1332.178308,5006.4,33.63,116730.6131,118729.6089,9015.323684,10890,163380,847920,576120,411720,196,15,727,482,618,0
8.37,0,26756,697.0101251,3032.7,33.57,78883.92167,95037.39494,42850.0134,178680,403080,722760,406620,299160,89,24,565,590,737,0
15.11,1,24052,1994.402354,5046.4,33.48,191190.2656,48494.43655,5631.26113,39030,310710,1077810,502080,80760,76,18,1201,519,720,0
7.52,1,25915,1146.652506,3041.7,33.47,127390.6584,119260.8955,10246.01992,38250,396240,773670,591630,210210,144,33,760,510,646,0
1.27,2,22863,377.4934664,2780.2,33.44,34045.20148,107761.0077,11480.72877,314490,538770,470190,427170,259050,105,9,206,600,721,0
1.27,2,22863,377.4934679,2723.5,33.44,32095.43704,106524.0289,5766.153929,359130,528330,452010,416340,254130,103,8,190,600,721,0
15.3,1,23950,1980.23026,4787.4,33.42,201821.542,37245.88506,5631.26113,39030,315480,1128480,471210,55830,77,18,1265,518,720,0
13.13,1,23412,727.9310965,3977.1,33.4,69273.38315,125078.9721,38121.20495,3120,215040,568200,645840,578520,95,71,441,513,715,0
7.87,1,26687,896.7080294,2825.3,33.38,97543.45409,86961.04779,6759.711233,35880,546660,655170,538770,233910,139,23,567,496,627,0
15.54,1,23451,1944.155783,3665.3,33.38,207509.4806,39108.06955,4314.144878,39030,325140,1178580,427890,39870,79,20,1311,517,714,0
6.94,1,25416,1363.099282,3693.6,33.36,155686.0431,124225.3829,8139.368929,4680,246360,886080,644940,228180,156,31,938,511,651,0
8.19,1,26490,998.4895469,2669.4,33.33,109878.5162,117188.4913,9557.379124,48600,493680,714240,560160,193830,139,29,657,509,643,0
10.75,1,24349,1110.578054,4438.3,33.33,118095.1672,127388.0236,31427.96341,390,197760,709410,675630,427380,112,61,733,529,720,0
7.39,1,25865,1181.438608,3108.7,33.33,133366.896,120524.8963,10246.01992,34650,366240,799770,602790,206700,149,33,791,510,647,0
0,2,37447,65.70705371,2670.7,33.33,5129.942363,73845.35336,1167.410442,225240,336120,545790,559650,343800,94,3,25,593,675,1
9.35,1,23810,1302.545735,4921.4,33.3,113621.8103,130964.0877,9555.29849,10890,164100,840870,557130,437040,194,18,707,484,619,0
9.31,1,23823,1325.736447,4983.3,33.3,116520.975,132842.9925,9555.29849,10890,163980,847020,558750,429630,196,18,724,484,619,0
10.9,1,24279,948.2429798,4129.1,33.29,96970.435,119853.8795,32709.07199,510,211740,654720,650910,492540,100,63,604,526,719,0
11.01,1,24280,1122.17341,4757.8,33.29,120088.9384,127527.7254,31157.45669,1680,199800,721110,670350,417780,112,59,751,529,720,0
11.76,1,23970,814.2521271,4090.4,33.28,77188.25423,123404.6951,32671.52063,0,206700,583770,665940,554040,94,66,470,519,716,0
7.3,1,25839,1262.606153,3478.5,33.18,139454.4796,119833.4332,9557.095086,28950,328860,821970,615750,215070,150,33,830,510,648,0
11.39,1,24172,941.8011044,4056.9,33.14,87810.93183,117835.0564,32777.50581,1500,215400,631440,646740,515070,98,64,549,524,719,0
9.18,1,24663,1678.750808,8035.3,33.11,190580.504,129425.4099,10519.44073,0,116100,937110,750000,206790,111,16,1148,516,718,0
16.47,0,21072,1421.0761,3356.1,33.08,131618.1814,48669.29881,15819.64352,48630,343800,994650,384810,238620,70,20,805,520,689,0
9.69,1,24566,1691.634546,7731.3,33.04,186344.7281,120843.7123,10768.57063,0,141150,951600,713760,203940,103,18,1139,517,719,0
9.06,1,24745,1712.248535,8084.3,33.03,190929.8847,130453.7821,10519.44073,0,116820,929610,756600,207690,113,16,1151,517,719,0
12.5,1,23904,766.5822943,3986.1,33.03,70639.59205,124164.1391,37841.42181,900,214350,562860,654180,578070,91,71,446,515,717,1
6.29,1,29540,1509.973864,15101.8,32.99,76268.97104,306897.5839,30930.65401,13170,30720,284250,696450,986070,232,19,257,741,783,2
1.39,1,22953,494.7354652,2766,32.98,35309.38736,144016.8661,1496.425026,65400,157380,608550,621480,557400,134,11,181,344,404,2
6.56,1,25329,1455.862185,3964.2,32.92,170016.0306,130236.9197,8132.034569,0,183000,921000,666960,239010,157,30,1036,516,675,0
8.45,1,24924,1744.457871,8188.6,32.89,198823.4687,117855.5824,10379.90403,1740,88170,915600,768480,235920,118,15,1171,517,719,0
9.92,1,24724,1569.239058,7190.2,32.88,179151.4177,126332.983,10625.27135,0,161250,909570,731490,207900,111,17,1104,522,722,2
11.69,1,24626,1734.150891,5344,32.86,187242.456,102752.8311,11052.48492,2820,240180,1010040,628470,128940,101,20,1175,524,724,0
12.43,1,24630,1633.657732,5219,32.83,184552.5957,101373.9567,10906.94056,6690,252930,1012680,613380,124860,100,19,1164,527,728,0
6.49,1,28186,1485.494782,15181.7,32.82,79622.91697,300192.4617,31273.14516,15600,28800,311880,731610,922260,225,20,278,737,786,1
6.34,1,28313,1202.052588,10617.1,32.78,86269.00221,265618.1669,23637.74301,3660,52140,382260,756360,815730,215,18,337,722,782,0
15.75,1,23453,664.8007839,3428.2,32.78,73840.5798,106391.1139,39831.82129,38790,251220,582840,598560,539340,77,71,478,509,717,0
14.03,1,24548,1826.913782,5440.6,32.77,181009.6308,88921.36683,4222.136803,23760,291900,1022310,560460,111750,88,19,1141,523,726,0
6.37,1,29148,1373.406263,24899.5,32.74,58729.38698,349382.576,22870.25845,21210,13350,185700,716310,1074180,231,18,108,754,788,0
6.26,1,30134,1310.27597,25338.8,32.71,53823.47115,361072.7429,30348.41211,16050,13140,157770,672000,1151610,232,21,78,753,785,0
6.29,1,29041,1302.545737,25812.9,32.69,59236.5637,348950.6123,22750.75148,25260,24060,209190,724860,1026780,227,17,110,754,785,0
7.77,1,27094,919.8987615,2824,32.67,95672.21899,83737.77635,6493.403648,41460,559380,652230,527100,229980,134,22,559,497,628,0
15.5,1,21610,517.9261941,1288.3,32.67,37898.54388,73242.49913,1507.715871,563640,397380,471720,293490,284100,78,5,276,448,609,0
9.42,0,24871,858.0568257,1963.4,32.65,85014.06479,54269.40446,3026.892136,489360,555030,651210,220770,93960,71,10,530,472,637,0
7.6,0,26925,800.0800214,3152.5,32.63,88419.50194,104286.128,43678.48681,123630,393240,758160,450180,285120,101,31,634,614,748,0
8.11,1,25097,1727.709007,7952.8,32.63,200098.0164,129229.4344,11028.31891,9750,76080,898530,774990,251400,122,16,1168,521,722,0
7.46,1,25203,1689.057808,8017.3,32.58,197541.3453,131280.0444,11197.59501,16320,71760,876570,786600,259080,127,17,1138,525,725,0
8.1,1,25155,1718.690405,7929.7,32.57,196722.713,127507.5588,12666.07075,7380,80160,902040,772560,248190,123,17,1156,520,722,0
16.1,1,23478,645.4751839,3372.8,32.55,73297.90236,99938.46037,31694.81389,52110,259380,576540,594660,527550,76,66,473,510,718,0
14.5,1,24666,1832.067276,5412.3,32.54,178659.3982,90001.2861,4392.038979,28470,295740,1022340,553380,110160,88,20,1131,524,728,0
10.34,1,24916,1566.662325,6126,32.53,179639.878,104857.916,13228.07112,0,179280,901650,703440,225600,125,21,1117,526,725,0
6.25,1,27735,1007.50817,3986.1,32.52,69122.91406,152925.5385,26173.56746,0,426960,443610,676530,462930,169,33,378,695,781,0
6.49,1,26838,1267.759638,8939.7,32.52,98915.86491,170958.6785,25473.79677,4500,155580,473700,782820,594090,190,27,398,707,790,0
6.58,1,27424,1211.071205,11338.6,32.52,92530.96216,242715.9043,23637.74301,13620,33990,383250,773970,805470,206,18,351,723,788,0
7.43,1,25247,1667.155441,7008.5,32.52,197879.8293,132125.2747,11353.12675,16590,70950,878220,786990,257130,130,18,1135,525,726,0
10.79,1,24838,1618.197265,5676.4,32.51,179292.8421,99515.63,13228.07112,0,190950,919440,697380,203010,120,21,1119,525,725,0
0.71,2,37659,351.7260025,931.5,32.47,5741.501162,53460.77928,540.1354966,503850,377160,464070,419790,245550,139,3,33,594,675,0
0.71,2,37659,351.7259961,931.5,32.47,10697.802,51158.75667,540.1354966,716880,385860,408930,326820,171810,132,3,56,594,675,0
0.71,2,37659,351.7259975,931.5,32.47,8417.634112,54126.98185,540.1354966,673620,378660,425670,348510,184290,136,3,45,594,675,0
0.71,2,37659,351.7259966,931.5,32.47,10928.2121,42268.96386,540.1354966,965490,363090,323460,229620,128520,108,3,57,594,675,0
0.71,2,37659,351.726002,931.5,32.47,4467.592312,52115.00342,540.1354966,424740,367350,473250,461490,283500,143,3,25,594,675,0
0.71,2,37659,351.7259993,1003.6,32.47,10026.85161,48080.61769,1507.755796,324300,411750,500040,435900,338910,139,5,53,594,675,0
0.71,2,37659,351.7259993,1003.6,32.47,11489.3264,37671.08099,2409.310246,551100,439770,389460,301860,328770,107,8,60,594,675,0
0.71,2,37659,351.725997,1003.6,32.47,4299.014514,55071.99358,540.1354966,290700,338910,501390,512220,366870,149,3,24,594,675,0
0.71,2,37659,351.7259939,931.5,32.47,9535.854666,50818.82623,540.1354966,664620,381900,428640,346830,188490,133,3,51,594,675,0
6.33,1,27592,1044.871013,4486,32.43,69011.25207,153015.1684,28589.31074,0,412860,443520,685590,468450,169,34,378,694,782,0
10.15,1,25077,1604.025145,8080.4,32.41,179283.9904,103827.2073,13228.07112,0,168390,902310,709410,230340,123,21,1107,527,726,0
6.41,1,28920,1404.327243,19154.9,32.39,64959.40866,316468.7951,37003.04858,19350,18000,238560,736320,998070,228,20,177,748,792,0
6.58,1,27481,1203.340958,10532.1,32.38,90138.65573,253485.2329,25501.04185,22830,34140,378060,796560,778830,224,19,320,723,787,0
6.03,1,30383,1342.485311,27141.2,32.37,51837.0035,408097.3399,27182.28888,13080,13140,143910,660900,1179120,225,18,50,759,793,0
10.07,1,25115,1624.639119,6214.9,32.36,178208.3103,103527.2849,14584.36425,0,167460,894450,704700,243630,122,22,1103,527,726,0
10.46,1,25103,1508.685517,5323.4,32.35,172533.4882,116333.5425,16694.59082,0,168540,860550,705900,275070,129,25,1071,530,727,1
7.92,2,28936,1002.354682,3019.8,32.33,111254.8498,100967.1569,4650.674735,88440,261420,829290,386700,254610,138,11,793,606,800,0
10.36,1,25123,1512.550625,5614.5,32.32,170016.0969,112001.906,19386.02794,0,171390,845190,712710,281640,127,30,1051,530,728,0
6.64,1,25460,1598.871665,6611.7,32.32,200057.2775,132457.0643,11537.14419,16590,64980,855960,811050,261120,132,19,1119,528,728,0
11.29,1,24869,1660.713573,5228,32.31,188605.7863,88445.30476,11205.52917,960,224880,995700,651150,137760,99,21,1176,526,727,0
8.38,2,28360,851.6149609,2867.8,32.29,96714.04044,122659.4997,53948.6031,73200,200460,792780,506490,325830,157,13,682,603,805,0
5.83,1,30854,1395.308622,28142.2,32.26,44517.2606,380877.749,35977.44174,7590,14520,147090,622350,1219110,210,17,28,761,797,0
6.51,1,27199,1185.30372,9184.5,32.24,94807.15599,232326.3896,25436.71751,12720,68790,430830,793650,704190,202,25,370,720,788,0
