OBJECTID,2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Shape_Length,Shape_Area
994,0,0,2.04,93001,121781,651.5889556,1980.535922,1148.563583,145650,261570,268410,26310,1680,50653.56911,3316.544691,216.9844809,,,0.044530008,6.96E-05
995,0,0,0,0,0,0,0,0,73050,102540,71070,31170,14820,,,10014.82951,,,0.028678956,2.89E-05
996,0,0,0,0,0,0,0,0,,30,19410,2100,,,,,,,0.01522649,2.14E-06
997,8.33,1.8,17.24,41089,59246,2494.395876,4804.021688,2771.550974,,12000,14070,1950,,2491.399945,,,,,0.007461192,2.77E-06
998,5.06,0,27.1,76077,90055,917.1072318,2244.499278,820.5696285,31350,295920,98820,3090,,31855.21783,429.0233082,,,,0.035855998,4.25E-05
999,0,1.8,13.64,59942,72898,574.9229081,1431.191069,978.5921841,92490,92250,26880,,,8476.377281,452.8548244,181.2230625,,,0.02431516,2.09E-05
1000,0.88,1.4,7.05,37444,46975,8376.218896,10675.5731,6405.343862,,5370,25890,14970,1080,10059.56834,,,,,0.008799943,4.67E-06
1001,0,0,0,0,0,0,0,0,,7020,3330,,,,69.40030267,,,,0.006293916,1.03E-06
1002,0,0,0,0,0,0,0,0,7410,,,,,,,,,,0.004596609,7.36E-07
1003,0,0,0,0,0,0,0,0,,6810,8550,9270,,,,,,,0.008288601,2.43E-06
1004,0,0,0,0,0,0,0,0,197400,2910,,,,,,,,,0.024598763,1.98E-05
1005,0,1,0,62500,55882,1196.896678,2393.793356,1496.120847,,1200,7470,,,,938.4243054,,,,0.004111117,8.55E-07
1006,0,0,0,0,0,0,0,0,3120,18240,780,,,,,,,,0.009539003,2.2E-06
1007,0,0,0,0,0,0,0,0,210,10500,90,,,,,,,,0.004281395,1.09E-06
