Percent unemployed,Vehicles per household,Median income,Houshold Density,Daytime population density,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Ridership
9.3,0,14088,2050,22283,46.69,69796.30247,462193.259,49976.58274,7200,20700,261900,558900,1159200,104,16,90,531,714,0
9.4,0,14180,2108,28982,46.57,65189.17115,451927.4475,50595.15961,7200,23400,269100,558000,1149300,101,18,85,538,718,0
11.2,1.1,16148,191,1121,46.51,13669.76772,149718.2487,42124.75642,83700,325800,569700,500400,531900,113,23,121,538,715,0
1.4,1.4,15692,182,1956,46.49,15892.80164,139233.7377,41813.83944,233100,242100,402300,571500,555300,109,23,114,538,715,0
1.2,1.4,15710,102,1325,46.46,15175.54754,136910.9986,41813.83944,223200,224100,398700,581400,579600,105,20,91,538,715,0
1.2,1.4,15710,102,1325,46.46,15175.54754,136910.9986,41813.83944,223200,224100,398700,581400,579600,118,26,135,535,715,0
1.2,1.4,15678,212,1715,46.36,20911.742,178669.8831,43525.31189,99900,218700,460800,585900,641700,108,23,106,531,716,0
1.4,1.4,15673,184,1523,46.28,16176.3217,155948.4116,42514.03681,162000,214200,423000,598500,609300,109,18,115,531,716,0
1.1,1.4,15628,231,1680,46.03,27966.39533,171449.5937,45909.88556,61200,225900,503100,569700,648000,115,32,139,486,697,0
1.3,1.4,15644,192,1522,45.96,18886.68983,171114.2974,42577.9357,110700,206100,441000,608400,645300,165,17,86,342,377,0
1.3,1.4,15706,190,2045,45.92,19868.96696,153011.2616,44364.0072,206100,258300,439200,582300,519300,162,22,69,358,401,0
1.3,1.4,15706,190,2045,45.92,19868.96696,152107.208,44364.0072,206100,257400,439200,582300,519300,162,22,68,358,401,0
1.3,1.4,15706,190,2045,45.92,19868.96696,153011.2616,44364.0072,206100,258300,439200,582300,519300,131,15,142,334,358,0
7.5,1.3,16293,316,1775,45.86,29850.74364,173868.2358,46719.98272,37800,227700,539100,567900,635400,168,20,72,364,406,0
9.3,0,14372,2074,21831,45.12,72068.88043,444231.2949,49976.58274,7200,20700,261000,563400,1159200,98,34,155,462,676,0
9,0,14800,1662,28725,45.1,71776.83145,408586.967,69389.62103,7200,30600,266400,607500,1101600,82,27,72,468,682,0
9,0,14800,1662,28725,45.1,72611.23428,410303.1746,69389.62103,7200,31500,271800,598500,1099800,84,50,182,451,664,0
9,0,14800,1662,28725,45.1,72611.23428,410303.1746,69389.62103,7200,31500,271800,598500,1099800,134,15,154,329,349,0
11,0,13497,1680,13259,45.02,60989.27653,448938.6617,32512.4769,6300,31500,353700,656100,956700,162,22,65,381,413,0
8.6,0,15029,1737,29083,44.95,74283.5742,417695.2415,62473.92408,7200,25200,258300,594900,1119600,96,66,285,451,658,0
11.7,1.2,16758,337,1374,44.76,35081.75207,156362.5362,49756.0242,48600,279000,603900,532800,549900,172,18,59,399,423,0
10.9,0,13522,1187,10717,44.75,63919.95091,432966.528,26868.82842,6300,28800,353700,633600,990000,74,95,345,442,635,0
11.1,1.2,16709,565,2016,44.42,51102.68497,113304.265,37386.35777,129600,459900,648900,517500,255600,155,23,62,404,426,0
14.2,1.2,17083,782,2077,43.93,61846.78166,107487.2564,43023.32207,121500,459000,740700,492300,199800,170,21,57,407,429,0
8.5,0,15593,1699,29349,43.72,70085.97842,401576.7865,69389.62103,7200,37800,261000,614700,1092600,173,20,55,407,429,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,69,98,402,439,624,0
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,170,20,58,405,429,1
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,65,97,414,440,623,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,176,18,56,406,430,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,69,96,434,438,620,0
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,77,98,456,437,615,0
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,151,24,62,409,431,2
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,110,15,98,294,339,1
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,81,96,475,435,609,0
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,83,95,459,433,597,2
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,180,18,51,419,443,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,84,97,479,433,598,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,83,97,487,433,598,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,74,93,426,431,592,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,68,92,411,430,592,1
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,68,91,384,432,592,2
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,102,90,432,432,591,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,117,16,134,602,719,0
8.2,0,15859,1685,29090,43.67,75617.02756,400978.1456,62473.92408,7200,21600,243900,639000,1103400,118,17,133,602,719,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,185,11,780,399,458,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,105,75,427,431,589,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,169,22,60,433,467,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,105,78,424,430,589,0
8.2,0,15859,1685,29428,43.67,74983.57427,426248.6078,62473.92408,7200,21600,236700,632700,1110600,182,18,51,420,443,0
