Percent unemployed,Vehicles per household,Median income,Houshold Density,Daytime population density,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Ridership
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,176,27,411,710,795,0
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,135,24,563,501,634,0
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,131,28,566,504,637,0
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,217,17,37,763,802,0
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,215,17,35,763,802,1
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,193,24,385,719,785,1
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,101,30,646,624,750,0
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,83,15,494,475,645,1
6.7,0,24286,1581,31031,36.01,69333.42112,421318.1473,77771.14224,9900,43200,267300,682200,1004400,74,55,482,507,719,0
1.1,1.5,20770,312,2163,35.99,30839.1506,114686.9761,22352.5781,259200,459000,476100,495900,324900,84,14,490,473,645,0
11.4,0,21920,821,1527,35.97,105828.0265,52554.45152,4427.841495,459900,582300,717300,183600,67500,136,13,658,603,797,0
11.4,0,21920,821,1527,35.97,105828.0265,52554.45152,4427.841495,459900,582300,717300,183600,67500,126,18,1150,530,728,0
11.4,0,21920,821,1527,35.97,105828.0265,52554.45152,4427.841495,459900,582300,717300,183600,67500,133,19,1125,531,729,0
12.1,1.3,26332,1165,2572,35.84,145898.8848,138141.0712,12100.21417,118800,383400,934200,369000,203400,131,19,1113,531,729,0
6.7,0,24689,1622,28285,35.81,66612.44776,421400.9755,73405.28789,14400,29700,268200,704700,996300,140,3,8,595,675,1
9.8,1.5,28131,855,2264,35.81,102620.449,157062.2939,65545.28708,77400,185400,861300,549000,345600,134,18,1119,531,729,0
7,0,19299,1491,11751,35.79,69140.6617,409495.2771,27654.44428,6300,18000,326700,642600,1017000,233,18,294,733,795,0
10.1,1.5,27879,795,2193,35.78,101121.3456,158284.2067,61948.86632,76500,187200,846900,554400,350100,69,8,534,524,672,0
6.7,0,24715,1565,31006,35.77,66849.009,422424.9288,78483.37498,10800,43200,271800,692100,993600,128,20,1153,533,730,3
15.6,0,20686,1783,3145,35.64,189173.2124,57514.19807,16099.16252,14400,363600,1217700,337500,81900,172,32,411,709,798,0
11.2,0,22217,800,1494,35.5,103148.0484,48975.90106,4427.841495,460800,587700,707400,184500,72000,218,21,391,711,801,0
11.2,0,22217,800,1494,35.5,103148.0484,48975.90106,4427.841495,460800,587700,707400,184500,72000,229,23,394,711,801,0
8,1.6,29422,1088,2517,35.45,135400.5083,124198.5353,33823.49942,106200,301500,927000,442800,230400,202,26,403,712,800,0
15.8,0,20415,1393,2562,35.4,158498.6318,71540.14462,16036.08264,6300,357300,1170900,332100,139500,133,5,7,589,675,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,232,22,393,712,801,1
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,189,24,410,711,801,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,69,7,547,524,674,1
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,69,8,543,524,674,1
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,227,23,394,711,801,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,151,29,1075,519,691,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,123,16,1082,524,725,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,49976.58274,7200,12600,206100,574200,1214100,123,18,1098,539,733,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,185,26,388,718,789,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,180,28,407,711,805,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,209,17,27,772,843,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,126,10,722,608,802,1
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,92,16,962,519,719,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,187,35,396,708,803,0
6.6,0,23794,1439,19042,35.39,68187.34985,448702.2655,42145.41019,7200,12600,206100,574200,1214100,204,17,117,701,742,0
8.1,1.6,29446,1113,2548,35.37,135229.2821,116311.8238,33823.49942,109800,302400,926100,435600,239400,77,29,724,623,757,0
6.2,0,25454,1737,30581,35.32,55829.58632,358116.5512,74599.47118,18900,76500,329400,715500,868500,77,28,743,622,754,0
6.2,0,25454,1737,30581,35.32,55829.58632,358116.5512,74599.47118,18900,76500,330300,715500,869400,32,24,42,500,719,0
6.2,0,25454,1737,30581,35.32,55829.58632,358116.5512,74599.47118,18900,76500,330300,715500,869400,210,17,43,767,810,0
6.9,0,19843,1461,12036,35.31,69595.62834,388161.3766,30176.21144,7200,15300,288900,634500,1064700,121,21,1077,531,732,0
6.5,0,25575,1364,28455,35.26,53077.66066,477136.4631,43808.6143,7200,16200,170100,616500,1200600,126,23,1083,541,732,0
15.7,0,20882,1807,3185,35.25,189306.7749,58798.24296,16099.16252,16200,352800,1206900,339300,95400,196,19,377,713,805,0
15.7,0,20882,1807,3185,35.25,188888.2808,58798.24296,16099.16252,18000,351000,1207800,338400,99000,122,22,1202,535,731,0
9.9,1.2,22532,1311,4136,35.2,119863.9271,159933.1805,9512.203964,10800,155700,838800,616500,394200,133,20,942,533,734,1
6.5,0,25579,1757,31328,35.14,54046.63579,380646.3255,79261.75925,18900,69300,316800,740700,860400,128,22,1167,534,734,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,135,20,1026,535,736,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,223,18,55,770,826,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,65,14,605,525,676,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,90,15,506,500,694,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,106,26,705,621,750,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,103,26,690,623,751,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,160,33,412,708,805,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,122,18,981,530,731,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,120,15,1061,528,726,0
6.4,0,25579,1757,29452,35.14,53744.33077,348054.2618,74677.50723,26100,74700,342000,735300,835200,133,22,1149,537,739,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,169,56,418,704,804,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,64,37,521,506,722,0
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,936000,66,33,503,506,722,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,122,30,1059,545,729,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,76,27,782,614,752,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,236,17,147,757,821,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,66,31,506,506,722,0
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,936000,77,27,774,614,752,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,125,10,651,605,797,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,105,27,760,610,748,2
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,65,15,622,526,680,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,50,13,614,528,694,0
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,935100,184,23,376,707,807,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,110,24,1279,541,737,2
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,104,27,768,614,748,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,175,26,357,709,808,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,181,19,350,715,813,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,51,13,635,529,696,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,222,16,94,772,839,0
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,936000,83,19,28,847,915,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,83,19,28,847,915,1
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,936000,89,22,543,568,741,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,107,25,1320,545,741,2
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,935100,110,76,339,600,750,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,92,17,518,504,701,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,107,76,334,612,765,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,127,59,870,551,726,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,231,18,223,750,828,1
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,117,26,1278,542,740,0
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,936000,89,14,873,516,718,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,145,67,445,702,807,1
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,109,75,340,605,754,1
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,110,75,347,605,754,1
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,106,29,788,539,723,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,49,31,517,513,717,0
6.6,0,25553,1772,31440,35.13,54403.68756,385230.0117,79985.91952,11700,59400,304200,736200,901800,48,31,515,512,717,0
6.6,0,25553,1774,31490,35.13,54900.26924,390022.5973,80244.82809,10800,54900,290700,721800,936000,116,9,650,604,794,0
6.6,0,25553,1774,31490,35.13,55819.5418,416934.4394,74275.96096,10800,53100,282600,716400,943200,118,10,637,604,794,2
15.6,0,20693,1457,2617,35.12,163781.7292,65732.50128,16036.08264,8100,353700,1183500,333000,130500,47,29,504,511,717,0
6.2,0,25536,1741,26331,35.12,50957.12703,319705.3281,74798.53608,111600,101700,341100,697500,760500,57,26,462,509,721,0
6.4,0,25624,1751,26684,35.09,51475.52058,343835.0492,74677.50723,99000,78300,328500,717300,789300,118,61,780,560,727,0
6.5,0,25719,1380,29782,35.07,53243.66175,462442.9915,58934.26522,9900,21600,203400,645300,1134900,99,3,52,578,684,0
6.2,0,25628,1737,26322,35.04,50892.62761,302561.7306,74798.53608,140400,83700,323100,699300,765900,115,10,639,604,795,0
6.3,1.4,21442,661,2269,35,65017.43159,95007.31742,20850.09801,210600,708300,621000,346500,123300,48,14,682,530,704,0
9,1.3,25341,932,2692,35,97385.8117,97464.60934,6106.822153,49500,548100,628200,522000,254700,81,13,360,511,699,0
9,1.3,25311,918,2657,34.94,94323.80653,96670.8792,6106.822153,55800,563400,621900,511200,258300,110,31,809,600,740,0
15.5,1,21112,1854,3240,34.91,207208.4358,59726.10303,16474.08922,33300,361800,1221300,316800,72000,49,25,530,521,711,0
9.8,1.2,22863,1273,4160,34.89,120281.627,160919.6185,9512.203964,10800,155700,835200,612000,395100,114,27,813,606,745,0
6.3,0,25302,1465,20635,34.82,61210.09737,468967.4199,49976.58274,7200,13500,198000,565200,1227600,61,11,587,526,677,0
6.3,0,25302,1465,20635,34.82,61210.09737,468967.4199,49976.58274,7200,13500,198000,565200,1227600,53,14,675,530,701,0
6.3,0,25302,1465,20635,34.82,61210.09737,468967.4199,49976.58274,7200,13500,198000,565200,1227600,229,15,328,738,818,1
15.3,0,20056,1017,2887,34.82,108108.2194,69705.42868,44804.17861,37800,374400,968400,391500,233100,234,17,174,755,839,0
6.3,0,25302,1465,20635,34.82,61210.09737,468967.4199,49976.58274,7200,13500,198000,565200,1227600,100,29,827,541,727,0
6.3,0,25302,1465,20635,34.82,61210.09737,468967.4199,49976.58274,7200,13500,198000,565200,1227600,110,72,466,592,744,0
6.3,0,25302,1465,20635,34.82,61210.09737,468967.4199,49976.58274,7200,13500,198000,565200,1227600,113,29,813,606,744,0
15.6,1,21488,1960,3230,34.8,210317.8522,56893.27196,16538.19624,47700,348300,1198800,363600,56700,67,10,546,527,679,0
15.6,1,21563,1952,2997,34.78,209968.4862,54388.80163,10109.49992,47700,347400,1199700,371700,46800,108,20,794,531,727,0
15.6,0,20977,1688,2883,34.77,185090.155,57561.14013,16099.16252,13500,355500,1201500,338400,107100,80,25,821,542,728,0
15.5,1,21114,1864,3270,34.76,203766.7363,61525.56298,16474.08922,34200,343800,1202400,332100,91800,80,28,625,604,745,0
6.6,0,19599,1159,9532,34.76,63234.57403,411654.1923,27108.11032,8100,17100,316800,662400,1000800,80,28,630,604,745,0
15.6,1,22031,1862,2864,34.75,203446.0529,56107.9366,10102.47429,47700,355500,1158300,405900,46800,120,30,1123,529,719,0
15.7,1,21470,1901,3299,34.74,206068.3543,59404.00324,16538.19624,47700,338400,1182600,366300,71100,52,14,658,528,709,0
15.6,1,21037,1832,3211,34.72,202296.5578,61795.66582,16359.89493,35100,342000,1193400,342900,98100,203,20,76,791,905,0
9.3,1.6,28260,788,2194,34.72,102013.4944,143994.4,76374.9157,78300,189000,849600,544500,346500,104,10,606,603,793,0
15.6,1,21120,1855,3245,34.68,203626.2376,61112.61871,16474.08922,37800,339300,1194300,343800,93600,111,62,665,560,728,0
15.5,0,21044,1692,2975,34.62,186554.4638,58045.89617,16099.16252,18900,346500,1195200,335700,109800,47,21,605,528,717,0
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,51,15,652,530,711,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,79,11,803,515,716,1
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,215,18,74,788,906,0
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,211,18,83,788,906,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,75,9,806,512,713,1
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,102,15,812,531,726,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,76,13,785,516,715,2
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,73,10,813,510,712,1
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,103,66,562,565,728,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,190,18,85,788,906,1
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,192,18,85,788,906,1
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,101,28,1337,548,743,0
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,200,16,92,788,906,0
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,110,31,816,601,743,0
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,82,10,651,506,701,1
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,206,17,82,788,905,1
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,63,22,677,620,764,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,62,24,666,619,763,1
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,76,9,802,513,714,0
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,82,10,651,503,694,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,82,19,43,858,925,2
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,177,25,74,808,919,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,90,22,525,533,727,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,72,25,777,544,730,1
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,71,25,774,544,730,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,76,8,574,531,688,0
6.5,0,25874,1807,27195,34.57,50860.30196,308444.9925,74677.50723,117000,81900,308700,717300,783000,74,26,790,612,753,1
6.5,0,25874,1807,27195,34.57,50093.27502,312603.7443,74677.50723,119700,82800,306900,715500,782100,74,26,787,612,753,0
15.5,1,21333,1885,3253,34.55,206741.0733,60272.99646,16773.4678,43200,336600,1179900,360900,87300,88,10,217,604,725,0
7.9,1.6,29250,1081,2515,34.45,131203.378,135367.545,33448.15233,109800,288900,911700,422100,264600,95,19,43,858,928,0
8,1.6,29253,1064,2451,34.35,129708.8779,132366.953,33448.15233,108900,281700,900900,409500,263700,115,28,1156,534,724,0
15.7,0,21178,1683,2895,34.33,171483.5731,57436.34416,15899.77598,27000,342900,1136700,342000,155700,70,26,794,552,735,0
15.5,0,20671,1150,3067,34.17,133926.4524,72268.51713,15945.4329,15300,372600,1085400,363600,168300,166,14,125,535,800,0
15.9,0,21142,1656,2849,34.14,168060.3605,57436.34416,15899.77598,31500,335700,1110600,352800,176400,161,14,118,535,800,0
9.1,1.6,28128,815,2248,34.13,102232.6216,142291.0917,76767.18412,76500,198000,819900,538200,345600,210,14,137,756,848,0
9.1,1.6,28103,795,2223,34.1,99377.12833,142919.8328,76767.18412,78300,192600,818100,549000,351000,170,27,341,705,827,0
11.6,1.1,23588,709,3107,34.04,79508.37398,144786.6677,40431.8035,0,193500,552600,690300,575100,115,30,1252,553,744,0
11.6,1.1,23588,709,3107,34.04,79508.37398,144786.6677,40431.8035,0,193500,552600,690300,575100,80,10,698,509,707,0
11.6,1.1,23588,709,3107,34.04,79508.37398,144786.6677,40431.8035,0,193500,552600,690300,575100,54,16,626,532,718,0
11.6,1.1,23588,709,3107,34.04,79508.37398,144786.6677,40431.8035,0,193500,552600,690300,575100,73,9,748,505,706,0
11.6,1.1,23588,709,3107,34.04,79508.37398,144786.6677,40431.8035,0,193500,552600,690300,575100,71,10,763,505,706,0
11.6,1.1,23588,709,3107,34.04,79508.37398,144786.6677,40431.8035,0,193500,552600,690300,575100,117,71,487,684,818,0
15.5,1,22713,1933,2924,33.99,213306.1605,62060.64179,5276.112532,45000,342000,1170900,418500,39600,78,8,589,532,690,0
15.6,1,22862,1943,2949,33.79,215096.7013,61739.43146,6778.818043,42300,338400,1176300,412200,36900,21,16,592,518,697,0
6.4,0,21822,1374,11639,33.75,64244.90762,383744.9181,27654.44428,6300,15300,300600,643500,1047600,119,25,66,829,926,0
6.4,0,21916,1382,11810,33.75,64096.24444,385494.7401,28287.19142,5400,15300,286200,636300,1063800,112,25,65,829,926,0
15.6,0,21038,1234,3175,33.72,139188.7409,71891.35989,16108.39311,15300,375300,1107000,351900,162900,124,24,70,831,925,0
12,1.1,23604,658,3046,33.71,74934.38287,196038.0854,40697.23175,1800,189900,539100,693000,583200,95,9,592,593,788,0
12,1.1,23604,658,3046,33.71,74934.38287,196038.0854,40697.23175,1800,189900,539100,693000,583200,129,24,76,831,926,0
12,1.1,23604,658,3046,33.71,74934.38287,196038.0854,40697.23175,1800,189900,539100,693000,583200,34,11,35,500,725,0
12,1.1,23604,658,3046,33.71,74934.38287,196038.0854,40697.23175,1800,189900,539100,693000,583200,107,25,57,865,935,0
12,1.1,23604,658,3046,33.71,74934.38287,196038.0854,40697.23175,1800,189900,539100,693000,583200,40,20,569,619,767,0
8.6,0,26838,648,2218,33.65,79655.69714,100488.7654,42850.0134,187200,400500,729900,396900,293400,109,25,65,840,928,0
8.6,0,26838,648,2218,33.65,79655.69714,100488.7654,42850.0134,187200,400500,729900,396900,293400,136,23,81,833,927,0
9.5,1.2,23714,1219,3886,33.63,121747.4645,150609.1177,9583.619836,10800,163800,846900,574200,408600,115,36,1095,556,741,0
9.5,1.2,23714,1219,3886,33.63,120892.7832,155512.5704,9926.682533,10800,165600,853200,574200,412200,91,12,788,530,725,0
7.9,1.6,29199,1041,2443,33.6,119193.8536,120836.9122,33537.72466,116100,268200,863100,384300,248400,140,11,80,798,922,0
8.4,0,26756,700,2354,33.57,80334.90579,110079.7209,42850.0134,178200,405000,720000,409500,299700,115,26,1190,536,729,0
15.1,0.9,24052,1913,3917,33.48,194840.2023,97268.25488,5631.26113,38700,309600,1080000,502200,81000,52,22,610,620,771,0
7.5,1.3,25915,1204,2361,33.47,135754.9458,125991.8161,10293.48571,39600,396900,768600,589500,210600,142,62,374,687,824,0
1.3,1.5,22863,338,2158,33.44,36228.32635,110284.2719,16297.72253,316800,542700,470700,427500,255600,140,11,80,821,927,0
1.3,1.5,22863,338,2158,33.44,36228.32635,110284.2719,16297.72253,316800,542700,470700,427500,255600,95,9,550,594,787,0
15.3,0.9,23950,1899,3716,33.42,205736.9838,89493.991,5708.022237,38700,315000,1131300,471600,56700,41,22,581,617,768,0
13.1,1.1,23412,655,3087,33.4,77825.20202,136511.7067,41946.17079,3600,213300,567000,645300,583200,142,23,82,824,930,0
13.1,1.1,23412,655,3087,33.4,77825.20202,136511.7067,41946.17079,3600,213300,567000,645300,583200,184,17,208,512,658,0
7.9,1.3,26687,919,2193,33.38,103711.3791,103507.8132,6759.711233,37800,550800,657900,537300,234000,80,9,535,589,786,0
15.5,0.9,23451,1894,2845,33.38,213359.1352,72312.29759,6540.324017,38700,324000,1179900,427500,41400,84,14,784,524,722,0
7,1.3,25395,1421,2931,33.36,160898.6471,140262.3934,8139.368929,4500,242100,882900,641700,232200,115,26,1216,538,733,0
6.9,1.3,25416,1414,2867,33.36,161184.2306,140262.3934,8139.368929,4500,249300,888300,644400,227700,61,7,658,532,694,0
8.2,1.3,26490,1040,2072,33.33,121514.0112,117669.2341,9604.84491,50400,496800,708300,558000,194400,98,20,64,872,936,0
10.7,1.1,24349,1050,3445,33.33,126963.4554,136221.4818,32966.92413,0,196200,709200,674100,427500,207,18,149,726,781,0
10.7,1.1,24349,1050,3445,33.33,126963.4554,136221.4818,32966.92413,0,196200,709200,674100,427500,104,20,67,872,936,0
10.7,1.1,24349,1050,3445,33.33,126963.4554,136221.4818,32966.92413,0,196200,709200,674100,427500,179,9,229,750,848,0
0,1.5,37916,58,2104,33.33,11298.36542,141638.1502,32160.9171,153900,314100,527400,604800,409500,92,73,497,597,756,0
0,1.5,37916,58,2104,33.33,10778.2057,139737.1516,32160.9171,158400,309600,523800,603900,409500,181,11,306,736,842,0
9.3,1.2,23823,1207,3868,33.3,120756.8989,165232.6626,9555.29849,10800,165600,853200,554400,428400,132,10,82,788,918,0
9.3,1.2,23810,1189,3805,33.3,119515.2665,159265.3585,9555.29849,10800,165600,844200,554400,436500,125,72,308,670,830,0
11,1.1,24280,1058,3693,33.29,131029.6403,137978.7752,32889.79433,1800,199800,718200,671400,420300,123,74,309,670,830,0
10.9,1.2,24279,885,3205,33.29,104773.1569,141579.4722,33924.71944,0,212400,658800,649800,496800,86,19,58,869,936,0
10.9,1.2,24279,885,3205,33.29,104773.1569,141579.4722,33924.71944,0,212400,658800,649800,496800,78,13,769,523,722,0
11,1.1,24280,1058,3693,33.29,131029.6403,137978.7752,32889.79433,1800,199800,718200,671400,420300,203,19,201,672,739,0
10.9,1.2,24279,885,3205,33.29,104773.1569,141579.4722,33924.71944,0,212400,658800,649800,496800,198,19,199,672,739,0
11.8,1.1,23970,747,3175,33.28,82670.31073,138975.2217,40578.35318,0,205200,584100,667800,556200,6,4,452,514,704,0
11.8,1.1,23970,747,3175,33.28,82670.31073,138975.2217,40578.35318,0,205200,584100,667800,556200,122,10,78,837,933,0
7.3,1.3,25839,1318,2700,33.18,145946.791,128443.3443,10326.65663,29700,331200,815400,613800,216000,7,4,400,514,706,0
11.4,1.1,24172,872,3149,33.14,98764.7344,141202.44,33993.15326,1800,214200,630000,645300,516600,120,10,78,833,933,0
11.4,1.1,24172,872,3149,33.14,98764.7344,141202.44,33993.15326,1800,214200,630000,645300,516600,86,11,227,600,725,0
9.2,1.1,24663,1588,6237,33.11,200222.9987,197715.6927,12697.31621,0,115200,942300,746100,207900,124,64,335,690,833,0
16.5,0,21072,1410,2605,33.08,136536.0345,52420.78329,15819.64352,48600,342900,999000,382500,238500,118,26,1222,539,733,0
