2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Shape_Length,Shape_Area,Net_Passengers
12.5,1.1,26.67,26872,39296,2474.152071,8247.17357,4948.304142,0,900,9840,5010,0,2644.964173,111.882428,0,0.00520006,1.55E-06,0
15.79,1.1,29.41,26923,39733,2651.507398,6628.768494,3977.261097,0,0,13740,1860,0,2374.671208,0,0,0.005175108,1.54E-06,0
12.82,1.1,27.59,29199,39296,3093.82415,7370.581063,5550.684504,0,750,15180,12570,0,3939.967151,596.2104427,140.620171,0.008344517,2.81E-06,33
22.22,1,30,25000,31156,2950.181613,6704.958212,5363.96657,0,0,3780,5820,0,1400.71288,273.4684406,0,0.004088552,9.54E-07,6
0,0,0,0,0,0,0,1938.802548,50970,55890,52470,57990,43050,0,24760.05513,1013.498852,0.030624948,2.57E-05,1
20.69,1,28.57,23786,30150,3981.834855,8173.239965,5763.182027,0,750,18990,4860,0,5060.694007,0,0,0.007825097,2.44E-06,0
0,1.4,41.67,29389,58945,3728.371937,4301.96762,36996.92153,0,0,60,1770,7260,218.3769801,1409.237981,0,0.004620948,8.92E-07,0
5.77,1.7,20,35000,66928,2716.545543,11952.80039,11002.00945,0,0,3270,15420,450,1999.711752,1720.147285,0,0.005764188,1.88E-06,16
8.33,1.4,35.29,22683,58944,2123.360877,2905.651727,3576.18674,0,0,11190,10320,1650,2273.858533,2439.691742,0,0.006174921,2.29E-06,5
0,0,0,0,0,0,0,6194.918343,0,0,0,3180,4710,0,1959.606892,0,0.00401314,7.85E-07,4
6.67,1.3,40.38,20424,33491,3535.466243,7267.347278,3731.881035,0,11160,24210,4170,0,4872.704614,0,361.339537,0.008356813,3.91E-06,18
0,0,0,0,0,0,0,0,0,0,150,3540,1620,0,0,0,0.01252369,5.22E-07,0
0,0,0,0,0,0,0,737.2991166,0,0,0,1080,12960,0,1589.019536,0,0.004856555,1.39E-06,11
0,2,0,0,89076,1575.895208,1575.895208,787.9476039,0,1470,1800,0,0,443.5733723,0,0,0.002758198,3.25E-07,0
8.33,1.1,15.79,30348,42333,6720.313238,10964.7216,7074.013935,0,300,7050,0,0,816.4062642,0,0,0.003549802,7.23E-07,0
0,1.4,6.25,30290,54384,1704.251591,3834.566079,2300.739647,0,17640,12750,0,0,2544.87316,0,0,0.008376484,3E-06,0
0,2,0,0,86547,97.68098785,195.3619757,97.68098785,18180,6330,1950,0,0,345.1175894,231.7151574,40.97477843,0.007083141,2.62E-06,0
0,2,0,50000,72525,888.1239012,1395.623273,634.3742152,0,16950,3480,0,0,1069.856722,0,151.076406,0.00557788,2.02E-06,0
0,1.4,6.58,37771,47264,380.7760274,804.3893579,342.6984247,202920,192930,115980,32670,0,26704.48643,1931.105274,0,0.059669313,5.38E-05,7
0,1,50,19014,34530,1065.445381,621.5098054,443.9355753,900,16530,10230,1500,0,1786.752296,148.2194363,0,0.007328511,2.88E-06,1
0,2.2,11.11,63384,108296,934.4478614,1972.723263,1245.930482,0,20640,4350,0,0,901.8033495,443.0416327,0,0.006306791,2.47E-06,0
3.03,2,7.14,53673,69073,185.9835754,452.829575,5636.11096,0,142740,84420,60630,32580,3516.141274,25368.75795,0,0.033626106,3.17E-05,0
0,2.1,4.35,54188,68499,1587.346817,3791.995174,1587.346817,0,14310,15060,0,0,3325.481582,0,0,0.006928101,2.9E-06,0
5.26,1.4,0,37916,47482,1207.059612,3138.354991,1689.883456,0,21960,10110,0,0,2877.963525,0,0,0.007307142,3.18E-06,0
0,0,0,0,0,0,0,1205.361568,117570,65580,85710,69840,54780,0,30759.63475,0,0.02966109,3.89E-05,0
0,0,0,0,0,0,0,0,0,0,1350,4290,2280,0,0,0,0.009151421,7.82E-07,0
2.94,1.9,33.33,50000,83603,1452.988691,3429.05331,1569.227786,0,24600,19890,0,0,3669.945776,280.4917711,0,0.008444344,4.4E-06,0
0.75,1.6,14.89,30731,37032,966.2343948,1786.766778,1104.26788,34680,246090,52500,2370,2280,14891.39352,2142.646417,149.3033264,0.033055506,3.34E-05,0
0,0,0,0,0,0,0,0,60,720,3480,360,0,0,0,0,0.004395612,4.64E-07,0
0,1.2,40,29084,34785,2761.283884,2416.123398,1380.641942,0,150,6030,1290,0,1493.195478,0,0,0.004139656,7.41E-07,13
0,0,0,0,0,0,0,5326.181875,0,0,0,1290,5520,0,1135.246379,0,0.003860159,6.73E-07,11
0,0,0,0,0,0,0,0,0,92160,2280,90,0,0,0,0,0.015200362,9.33E-06,0
5.26,1.5,25,35000,46586,3856.91116,14945.53075,5785.36674,0,0,1920,3420,0,1146.5817,0,0,0.003029782,5.31E-07,5
5,1.6,23.53,32911,49194,11792.38885,13012.29114,5286.243277,0,0,2910,3420,0,1540.515666,0,0,0.003626907,6.29E-07,0
