Median Income,Household Density,Daytime Population Density,Percent Unemployed,Vehicles per Household,Percent below poverty level,Residential area,Commercial/Industrial area,Other area,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Net Passengers
54085,976.8645894,1125.2,0.4,1.7,22.83,48643.60689,16444.45095,678.8129773,140400,586800,180900,42300,900,3
39659,1133.268607,1795.6,1.4,1.5,16.51,129511.2756,24809.69499,361.8012225,338400,942300,627300,177300,54000,0
51769,596.0404084,1727.2,2.3,2,6.36,63263.09638,63020.44613,1299.602024,553500,493200,480600,185400,32400,0
38451,1460.76073,2817.2,5.3,0,22.78,52245.26926,35451.46202,0,0,338400,300600,88200,72000,34
38788,377.1044287,822.6,2.9,1.9,9.7,70562.83283,63529.52934,639.8797092,1400400,735300,630900,229500,72000,4
33711,1790.487206,2381,7.4,0,31.45,55351.4064,443.1351331,371.3982928,0,354600,205200,4500,0,0
59959,1070.165296,1373.4,3.7,0,20.5,125477.295,13655.45719,250.7657449,45000,924300,464400,56700,9900,0
42279,318.3318915,467.1,3.1,1.7,15.28,80620.04333,18350.52926,1380.566772,2985300,620100,457200,141300,25200,0
36880,715.8518823,3418.6,4.9,1.6,20.13,61421.5391,84283.05341,273.6985233,40500,514800,452700,225000,121500,0
131992,372.0656915,551.4,1.8,2.4,0,178591.5722,3460.686339,1201.550591,1566000,1089900,453600,138600,3600,0
30029,492.9382119,1107.9,2.7,2,21.55,47834.42258,42036.48667,631.6081046,352800,630000,345600,192600,72000,5
0,0,284.3,0,0,0,0,576445.2358,48179.35957,7001100,2871900,2026800,1594800,1645200,1
37935,1423.499025,2420.3,7.3,1.6,9.13,99883.81091,9152.208527,4495.496259,36900,453600,551700,56700,6300,0
51093,133.9044158,180.9,13.6,2.2,6.03,79734.89,12682.40311,1664.628521,5730300,668700,396900,46800,20700,0
59024,125.7952495,206.7,8.1,1.9,15.06,167950.2458,35203.93481,6307.386935,11389500,1425600,855000,173700,45000,0
47336,860.0259901,2188,4.1,1.7,15.16,169433.8043,58806.79284,0,728100,1506600,712800,180000,113400,0
41990,390.1791531,548.1,3,1.7,15.32,102110.1557,20947.94818,604.5626718,2704500,780300,379800,83700,22500,0
60057,551.9159042,1123.6,0,1.8,20.87,100330.0427,20357.73297,953.2671587,927900,1024200,453600,70200,18000,0
36860,214.5390982,676,1.6,1.5,0,71894.26599,56105.29253,11839.82837,4445100,702900,414900,216900,66600,0
67271,488.0110273,722.8,0,2,10.42,167190.6792,8391.599452,1089.503037,2108700,1519200,794700,72000,4500,0
46702,1913.245123,2432.2,1.4,1.6,12.34,78613.01914,12261.18722,615.5566617,7200,606600,309600,58500,19800,2
30531,438.3969494,3084.1,5.4,1.6,31.82,5571.385007,17896.65465,13340.34453,0,24300,111600,162900,61200,28
28027,26.96097645,1184.2,7.1,1.4,17.65,4305.073625,126678.3167,11372.50112,468900,504900,568800,443700,511200,13
37978,468.1219299,727,11.9,1.9,9.3,53340.3949,4154.36401,1364.086795,759600,730800,205200,21600,900,1
200001,6.947809532,2105.1,0,0,0,0,92521.04157,64.0192687,302400,140400,289800,211500,170100,0
41683,906.3966059,1491.9,4.2,1.8,8.45,107208.8309,11995.39369,1551.925807,314100,977400,355500,40500,7200,12
36776,887.8715374,4943.4,4.8,1.6,20.42,29513.09198,114392.1747,1133.41328,4500,208800,215100,234000,342000,20
37652,1247.767523,2268.1,0.5,1.3,12.97,127724.0865,69296.69683,256.0643223,414000,759600,598500,304200,155700,22
57161,109.8841874,12504.7,3.8,1.8,4.35,16499.3939,188540.695,376.7014704,0,85500,163800,577800,538200,154
71516,943.4017286,1599.3,0.7,0,6.89,300920.1473,32744.25722,1689.912737,1307700,1124100,1129500,254700,49500,0
50000,108.7683697,2444.4,4,1.5,18.18,5756.702192,16013.45395,758.7032945,69300,131400,118800,155700,69300,0
53335,555.9225238,1669.1,1.2,1.8,3.34,155826.91,125805.4672,8802.580549,576900,1253700,1155600,596700,315900,7
53737,673.4247314,1058.8,2.8,2,31.75,84648.90404,22094.54292,970.9817819,320400,629100,498600,102600,18000,3
55356,687.4227511,4120.6,1.8,2.2,3.68,53262.4122,60069.05683,151.076406,85500,511200,372600,161100,62100,2
76092,455.1102289,916,2.5,1.4,11.16,73397.38991,32972.57457,7219.469966,2693700,1041300,558000,124200,77400,0
47351,657.135978,723.6,1,1.7,12.77,59213.6729,2240.481431,203.9974444,1044900,393300,281700,20700,0,17
39744,851.7212171,1167.7,4.2,1.8,16,113007.7018,26335.9906,3230.72607,805500,982800,660600,87300,15300,125
75162,160.1448056,756.6,2.1,1.9,11.19,341422.1097,252034.2057,176434.0753,14615100,3701700,2493000,1385100,1059300,0
25847,209.5152146,2101.2,15.5,1.4,35.17,23950.49322,169364.5123,72453.29397,306900,220500,493200,600300,479700,0
17023,1394.183168,3643.1,13.8,1.1,45.8,33571.15466,44412.54732,32549.19355,51300,135900,410400,280800,61200,250
18480,336.3899459,709.6,21.4,0.9,47.69,21098.66171,41190.38836,1287.080211,490500,449100,417600,146700,40500,145
15291,622.845485,1563,19.9,1.1,50.76,58913.20272,59572.78246,391.3308435,990900,512100,447300,176400,216900,233
27947,1325.183558,2826.9,9.9,1.4,34.57,71170.69898,30869.2589,2116.44279,58500,333000,494100,100800,31500,26
41474,1016.710428,1279.8,1.5,1.7,9.4,46817.25954,2395.502562,0,116100,422100,176400,19800,4500,0
0,9.498910392,4145.3,0,2,0,503.8441694,79934.32538,0,74700,93600,111600,117900,146700,0
46586,1074.275193,2296.7,5.8,1.6,7.38,136812.1398,91253.52989,8120.378274,1408500,644400,687600,382500,179100,0
28043,1218.475235,4156.3,10.8,1.4,39.73,50513.45672,50900.56119,580.181171,0,20700,331200,202500,90900,53
30569,1567.375908,3239.4,6.2,1.6,33.28,83475.45833,21222.03748,4169.849007,49500,261900,517500,78300,51300,27
50910,1165.482661,1410.1,3.8,1.7,23.54,145424.7615,8118.239987,199.2650153,311400,900900,538200,20700,2700,0
63643,85.22848213,102.5,1.4,2.3,1.9,156383.5502,11565.91589,12278.32157,16536600,1604700,705600,35100,7200,0
69428,85.16854241,113.1,0,1.5,18.71,50698.76167,3288.812339,3796.436653,6908400,935100,324900,64800,3600,0
58739,456.0060463,752.4,2.5,2,19.08,148879.2482,25930.60442,5853.924953,1376100,1170900,813600,137700,21600,0
17791,1061.538299,2858.2,20.3,1,47.84,37860.9106,55133.29188,3267.015891,0,99000,332100,151200,112500,138
25728,424.6830839,1511.7,15.7,1.4,35.24,53488.98398,116447.9079,2152.110877,658800,355500,632700,420300,287100,3
57201,1026.089945,2629.4,1.6,1.7,16.41,29806.75311,50441.88958,16078.14939,0,8100,81900,235800,239400,34
30000,8.611093878,3025.3,4.3,2,50,552.2625942,135761.5306,1801.893912,13500,86400,143100,318600,342900,29
10253,7789.148284,12995.7,17,0,61.83,42129.76833,26729.08031,0,900,24300,272700,257400,40500,171
37389,956.492645,3508,0.8,1.7,22.53,112607.9941,86403.11243,9215.607628,333900,525600,728100,263700,191700,0
32316,933.8299569,2924.6,0,1.1,22.09,84211.62406,48510.63729,0,353700,302400,522900,170100,128700,0
42712,475.0863965,922.8,1.8,1.9,10.31,190259.1271,52982.90957,13636.12656,2700900,2331000,1217700,468900,156600,0
