OBJECTID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopres_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,Shape_Area_sqmi,Shape_Area_sqmi1,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,atrisk_acshhbpov,atrisk_acshhbpov_p,aggregationMethod_12,HasData_12,ORIGINAL_OID_12,sourceCountry_12,populationtotals_totpop_cy,total_population_density,aggregationMethod_12_13,HasData_12_13,ORIGINAL_OID_12_13,sourceCountry_12_13,householdincome_medhinc_cy,householdincome_medhinc_cy_i,Shape_Length,Shape_Area
61,47,065,47197703,00000110,00001880,4706500001880,G6320,S,1356774,0,+35.1479280,-085.2437937,,,,,52348,375,505,1791,1293,498,3418.6,4.9,1.6,0.523851385,0.523851385,BlockApportionment:US.BlockGroups,1,61,US,62,20.13,BlockApportionment:US.BlockGroups,1,61,US,958,7138215.919,BlockApportionment:US.BlockGroups,1,61,US,36880,61,0.054586228,0.000134207
62,47,065,47197703,00000090,00002500,4706500002500,G6320,S,2795521,469251,+35.1489388,-085.0685688,,,,,183709,469,1222,695,63,632,551.4,1.8,2.4,1.260530091,1.260530091,BlockApportionment:US.BlockGroups,1,62,US,0,0,BlockApportionment:US.BlockGroups,1,62,US,1278,3957443.23,BlockApportionment:US.BlockGroups,1,62,US,131992,218,0.091574535,0.000322936
63,47,065,47197703,00000050,00001990,4706500001990,G6320,S,1592024,0,+35.0693785,-085.1631660,,,,,43949,303,786,681,272,409,1107.9,2.7,2,0.614681501,0.614681501,BlockApportionment:US.BlockGroups,1,63,US,86,21.55,BlockApportionment:US.BlockGroups,1,63,US,758,4817951.229,BlockApportionment:US.BlockGroups,1,63,US,30029,50,0.065651013,0.000157328
64,47,065,47197703,00000050,00002210,4706500002210,G6320,S,15133206,0,+35.0856211,-085.1446515,,,,,0,0,0,1661,1661,0,284.3,0,0,5.842942202,5.842942202,BlockApportionment:US.BlockGroups,1,64,US,0,0,BlockApportionment:US.BlockGroups,1,64,US,0,0,BlockApportionment:US.BlockGroups,1,64,US,0,0,0.215281503,0.001495799
65,47,065,47197703,00000050,00001980,4706500001980,G6320,S,1104412,0,+35.0782816,-085.1727595,,,,,48645,607,1124,1032,140,892,2420.3,7.3,1.6,0.426414061,0.426414061,BlockApportionment:US.BlockGroups,1,65,US,64,9.13,BlockApportionment:US.BlockGroups,1,65,US,1576,14438480.84,BlockApportionment:US.BlockGroups,1,65,US,37935,63,0.052606583,0.000109153
66,47,065,47197703,00000110,00002350,4706500002350,G6320,S,6847960,37848,+35.1971225,-085.2237553,,,,,56384,356,612,481,59,422,180.9,13.6,2.2,2.658612846,2.658612846,BlockApportionment:US.BlockGroups,1,66,US,17,6.03,BlockApportionment:US.BlockGroups,1,66,US,941,1380781.539,BlockApportionment:US.BlockGroups,1,66,US,51093,84,0.125643994,0.000681498
67,47,065,47197703,00000100,00002360,4706500002360,G6320,S,13897577,0,+35.2066724,-085.2462278,,,,,85188,675,1323,1109,284,825,206.7,8.1,1.9,5.365862404,5.365862404,BlockApportionment:US.BlockGroups,1,67,US,103,15.06,BlockApportionment:US.BlockGroups,1,67,US,1609,1169608.602,BlockApportionment:US.BlockGroups,1,67,US,59024,97,0.202999325,0.001375674
68,47,065,47197703,00000100,00001850,4706500001850,G6320,S,3243424,0,+35.1522504,-085.2554983,,,,,71107,1077,1743,2740,1458,1282,2188,4.1,1.7,1.252287736,1.252287736,BlockApportionment:US.BlockGroups,1,68,US,153,15.16,BlockApportionment:US.BlockGroups,1,68,US,2506,7810638.675,BlockApportionment:US.BlockGroups,1,68,US,47336,78,0.078500241,0.000320844
69,47,065,47197703,00000100,00001830,4706500001830,G6320,S,3969508,0,+35.1551987,-085.2742335,,,,,60974,598,767,840,110,730,548.1,3,1.7,1.532629294,1.532629294,BlockApportionment:US.BlockGroups,1,69,US,68,15.32,BlockApportionment:US.BlockGroups,1,69,US,1306,3325831.201,BlockApportionment:US.BlockGroups,1,69,US,41990,69,0.106803283,0.000392684
70,47,065,47197703,00000100,00001860,4706500001860,G6320,S,2496538,0,+35.1610812,-085.2599984,,,,,73085,532,1102,1083,258,825,1123.6,0,1.8,0.963914966,0.963914966,BlockApportionment:US.BlockGroups,1,70,US,125,20.87,BlockApportionment:US.BlockGroups,1,70,US,1221,4943564.989,BlockApportionment:US.BlockGroups,1,70,US,60057,99,0.103603922,0.000246988
71,47,065,47197703,00000110,00003010,4706500003010,G6320,S,5831971,11065,+35.1588039,-085.2218311,,,,,57781,484,919,1525,976,549,676,1.6,1.5,2.255999042,2.255999042,BlockApportionment:US.BlockGroups,1,71,US,0,0,BlockApportionment:US.BlockGroups,1,71,US,1100,1902906.71,BlockApportionment:US.BlockGroups,1,71,US,36860,61,0.117058309,0.000578063
72,47,065,47197703,00000110,00001870,4706500001870,G6320,S,4500552,0,+35.1651351,-085.2397379,,,,,74422,848,1766,1256,181,1075,722.8,0,2,1.737665652,1.737665652,BlockApportionment:US.BlockGroups,1,72,US,92,10.42,BlockApportionment:US.BlockGroups,1,72,US,2286,5133955.012,BlockApportionment:US.BlockGroups,1,72,US,67271,111,0.098635782,0.000445271
73,47,065,47197703,00000030,00001090,4706500001090,G6320,S,1012585,0,+35.0214298,-085.2532433,,,,,63916,748,982,951,193,758,2432.2,1.4,1.6,0.390958791,0.390958791,BlockApportionment:US.BlockGroups,1,73,US,76,12.34,BlockApportionment:US.BlockGroups,1,73,US,1582,15818640.73,BlockApportionment:US.BlockGroups,1,73,US,46702,77,0.040519082,0.000100009
74,47,065,47197703,00000010,00000450,4706500000450,G6320,S,360381,0,+35.0407274,-085.2842544,,,,,49487,61,69,429,359,70,3084.1,5.4,1.6,0.139143304,0.139143304,BlockApportionment:US.BlockGroups,1,74,US,14,31.82,BlockApportionment:US.BlockGroups,1,74,US,175,4915511.409,BlockApportionment:US.BlockGroups,1,74,US,30531,50,0.025957235,3.56016E-05
75,47,065,47197703,00000100,00001610,4706500001610,G6320,S,2472318,25369,+35.1126370,-085.2397070,,,,,40851,26,23,1142,1109,33,1184.2,7.1,1.4,0.964356764,0.964356764,BlockApportionment:US.BlockGroups,1,75,US,3,17.65,BlockApportionment:US.BlockGroups,1,75,US,46,186264.9834,BlockApportionment:US.BlockGroups,1,75,US,28027,46,0.073393426,0.00024696
76,47,065,47197703,00000030,00001140,4706500001140,G6320,S,1720682,0,+35.0719807,-085.2318855,,,,,44061,311,485,483,41,442,727,11.9,1.9,0.664356827,0.664356827,BlockApportionment:US.BlockGroups,1,76,US,24,9.3,BlockApportionment:US.BlockGroups,1,76,US,798,4692791.14,BlockApportionment:US.BlockGroups,1,76,US,37978,63,0.081203182,0.000170048
77,47,065,47197703,00000090,00002750,4706500002750,G6320,S,1118334,0,+35.0969886,-085.0589548,,,,,162152,3,0,909,904,5,2105.1,0,0,0.431790766,0.431790766,BlockApportionment:US.BlockGroups,1,77,US,0,0,BlockApportionment:US.BlockGroups,1,77,US,9,81408.19774,BlockApportionment:US.BlockGroups,1,77,US,200001,330,0.066858469,0.000110554
78,47,065,47197703,00000030,00001120,4706500001120,G6320,S,1694479,0,+35.0429575,-085.2466060,,,,,71229,593,1017,976,160,816,1491.9,4.2,1.8,0.65423899,0.65423899,BlockApportionment:US.BlockGroups,1,78,US,49,8.45,BlockApportionment:US.BlockGroups,1,78,US,1464,8745526.974,BlockApportionment:US.BlockGroups,1,78,US,41683,69,0.058345674,0.0001674
79,47,065,47197703,00000110,00001890,4706500001890,G6320,S,1006393,0,+35.1385158,-085.2418367,,,,,52355,345,464,1921,1562,359,4943.4,4.8,1.6,0.388569726,0.388569726,BlockApportionment:US.BlockGroups,1,79,US,58,20.42,BlockApportionment:US.BlockGroups,1,79,US,688,6911957.607,BlockApportionment:US.BlockGroups,1,79,US,36776,61,0.045940656,9.95376E-05
80,47,065,47197703,00000050,00001490,4706500001490,G6320,S,2231384,0,+35.0428000,-085.1764699,,,,,46968,1075,1349,1954,1070,884,2268.1,0.5,1.3,0.861538692,0.861538692,BlockApportionment:US.BlockGroups,1,80,US,137,12.97,BlockApportionment:US.BlockGroups,1,80,US,2068,9381189.299,BlockApportionment:US.BlockGroups,1,80,US,37652,62,0.067832693,0.000220441
81,47,065,47197703,00000060,00002070,4706500002070,G6320,S,1367077,0,+35.0347371,-085.1581873,,,,,80621,58,81,6600,6537,63,12504.7,3.8,1.8,0.527828447,0.527828447,BlockApportionment:US.BlockGroups,1,81,US,2,4.35,BlockApportionment:US.BlockGroups,1,81,US,137,1014499.904,BlockApportionment:US.BlockGroups,1,81,US,57161,94,0.048680368,0.000135042
82,47,065,47197703,00000060,00002140,4706500002140,G6320,S,3901189,0,+34.9940195,-085.1359789,,,,,101185,1421,0,2409,623,1786,1599.3,0.7,0,1.506251215,1.506251215,BlockApportionment:US.BlockGroups,1,82,US,83,6.89,BlockApportionment:US.BlockGroups,1,82,US,3756,9751349.917,BlockApportionment:US.BlockGroups,1,82,US,71516,118,0.090365079,0.000385177
83,47,065,47197703,00000060,00002040,4706500002040,G6320,S,547677,0,+35.0461250,-085.1487384,,,,,87949,23,16,517,490,27,2444.4,4,1.5,0.211458534,0.211458534,BlockApportionment:US.BlockGroups,1,83,US,2,18.18,BlockApportionment:US.BlockGroups,1,83,US,50,924080.0193,BlockApportionment:US.BlockGroups,1,83,US,50000,83,0.04919953,5.41079E-05
84,47,065,47197703,00000050,00002010,4706500002010,G6320,S,3904179,0,+35.0605625,-085.1437685,,,,,58583,838,1319,2516,1760,756,1669.1,1.2,1.8,1.507404295,1.507404295,BlockApportionment:US.BlockGroups,1,84,US,25,3.34,BlockApportionment:US.BlockGroups,1,84,US,1874,4857683.72,BlockApportionment:US.BlockGroups,1,84,US,53335,88,0.101669947,0.000385781
85,47,065,47197703,00000050,00003040,4706500003040,G6320,S,1573021,0,+35.0901260,-085.1731798,,,,,82292,409,746,643,183,460,1058.8,2.8,2,0.607343302,0.607343302,BlockApportionment:US.BlockGroups,1,85,US,120,31.75,BlockApportionment:US.BlockGroups,1,85,US,1010,6495640.843,BlockApportionment:US.BlockGroups,1,85,US,53737,89,0.059954071,0.000155489
86,47,065,47197703,00000050,00001550,4706500001550,G6320,S,1194360,0,+35.0805394,-085.1821444,,,,,68180,317,822,1900,1563,337,4120.6,1.8,2.2,0.461142724,0.461142724,BlockApportionment:US.BlockGroups,1,86,US,14,3.68,BlockApportionment:US.BlockGroups,1,86,US,777,6582193.711,BlockApportionment:US.BlockGroups,1,86,US,55356,91,0.051990528,0.000118046
87,47,065,47197703,00000070,00002550,4706500002550,G6320,S,4518593,0,+35.0566148,-085.0914198,,,,,109887,794,574,1598,163,1435,916,2.5,1.4,1.744632288,1.744632288,BlockApportionment:US.BlockGroups,1,87,US,47,11.16,BlockApportionment:US.BlockGroups,1,87,US,2239,5014876.011,BlockApportionment:US.BlockGroups,1,87,US,76092,126,0.097476988,0.000446472
88,47,065,47197703,00000020,00000880,4706500000880,G6320,S,1753896,0,+34.9924552,-085.3353928,,,,,57917,445,619,490,18,472,723.6,1,1.7,0.677181002,0.677181002,BlockApportionment:US.BlockGroups,1,88,US,47,12.77,BlockApportionment:US.BlockGroups,1,88,US,983,5676667.643,BlockApportionment:US.BlockGroups,1,88,US,47351,78,0.069523227,0.000173165
89,47,065,47197703,00000020,00000890,4706500000890,G6320,S,2557398,0,+34.9959772,-085.3246230,,,,,55196,841,1010,1153,203,950,1167.7,4.2,1.8,0.987412293,0.987412293,BlockApportionment:US.BlockGroups,1,89,US,92,16,BlockApportionment:US.BlockGroups,1,89,US,1942,7690898.118,BlockApportionment:US.BlockGroups,1,89,US,39744,66,0.081370077,0.000252506
90,47,065,47197703,00000020,00000860,4706500000860,G6320,S,22776226,561189,+35.0027621,-085.3658673,,,,,144322,1443,2550,6817,5054,1763,756.6,2.1,1.9,9.010595095,9.010595095,BlockApportionment:US.BlockGroups,1,90,US,147,11.19,BlockApportionment:US.BlockGroups,1,90,US,3422,1484956.824,BlockApportionment:US.BlockGroups,1,90,US,75162,124,0.214310721,0.002304444
91,47,065,47197703,00000020,00000950,4706500000950,G6320,S,2084982,28897,+34.9949266,-085.2978780,,,,,33115,171,200,1715,1440,275,2101.2,15.5,1.4,0.816169844,0.816169844,BlockApportionment:US.BlockGroups,1,91,US,51,35.17,BlockApportionment:US.BlockGroups,1,91,US,468,2242355.981,BlockApportionment:US.BlockGroups,1,91,US,25847,43,0.071452985,0.000208709
92,47,065,47197703,00000020,00000910,4706500000910,G6320,S,941868,0,+35.0100750,-085.3174168,,,,,25675,507,525,1325,516,809,3643.1,13.8,1.1,0.363653795,0.363653795,BlockApportionment:US.BlockGroups,1,92,US,229,45.8,BlockApportionment:US.BlockGroups,1,92,US,1235,13277971.03,BlockApportionment:US.BlockGroups,1,92,US,17023,28,0.052144738,9.30112E-05
93,47,065,47197703,00000020,00000930,4706500000930,G6320,S,1547578,0,+35.0067674,-085.3073378,,,,,28382,201,184,424,105,319,709.6,21.4,0.9,0.597520831,0.597520831,BlockApportionment:US.BlockGroups,1,93,US,93,47.69,BlockApportionment:US.BlockGroups,1,93,US,506,3311064.088,BlockApportionment:US.BlockGroups,1,93,US,18480,31,0.087305762,0.000152821
94,47,065,47197703,00000020,00000940,4706500000940,G6320,S,2277225,97179,+34.9923374,-085.3121286,,,,,29311,571,425,1433,301,1132,1563,19.9,1.1,0.916760278,0.916760278,BlockApportionment:US.BlockGroups,1,94,US,200,50.76,BlockApportionment:US.BlockGroups,1,94,US,1481,6317691.214,BlockApportionment:US.BlockGroups,1,94,US,15291,25,0.07587059,0.000234421
95,47,065,47197703,00000020,00001020,4706500001020,G6320,S,1009245,5111,+35.0038780,-085.2769272,,,,,55354,519,657,1107,248,859,2826.9,9.9,1.4,0.391643857,0.391643857,BlockApportionment:US.BlockGroups,1,95,US,159,34.57,BlockApportionment:US.BlockGroups,1,95,US,1449,14466342.9,BlockApportionment:US.BlockGroups,1,95,US,27947,46,0.048299126,0.000100164
96,47,065,47197703,00000020,00001050,4706500001050,G6320,S,738755,0,+35.0031969,-085.2704622,,,,,75261,290,402,365,22,343,1279.8,1.5,1.7,0.285233624,0.285233624,BlockApportionment:US.BlockGroups,1,96,US,22,9.4,BlockApportionment:US.BlockGroups,1,96,US,726,9952327.052,BlockApportionment:US.BlockGroups,1,96,US,41474,68,0.044442017,7.29478E-05
97,47,065,47197703,00000080,00000380,4706500000380,G6320,S,545324,0,+35.0577003,-085.3274419,,,,,65522,2,6,873,870,3,4145.3,0,2,0.210550465,0.210550465,BlockApportionment:US.BlockGroups,1,97,US,0,0,BlockApportionment:US.BlockGroups,1,97,US,7,129911.0768,BlockApportionment:US.BlockGroups,1,97,US,0,0,0.036036581,5.3883E-05
98,47,065,47197703,00000080,00000730,4706500000730,G6320,S,3301394,1573,+35.1004020,-085.3234171,,,,,89553,1370,1179,2929,1567,1362,2296.7,5.8,1.6,1.275278447,1.275278447,BlockApportionment:US.BlockGroups,1,98,US,55,7.38,BlockApportionment:US.BlockGroups,1,98,US,2920,8942194.68,BlockApportionment:US.BlockGroups,1,98,US,46586,77,0.104353366,0.000326542
99,47,065,47197703,00000020,00001000,4706500001000,G6320,S,646183,0,+34.9955681,-085.2878435,,,,,35836,304,524,1037,405,632,4156.3,10.8,1.4,0.249492145,0.249492145,BlockApportionment:US.BlockGroups,1,99,US,145,39.73,BlockApportionment:US.BlockGroups,1,99,US,974,15266186.97,BlockApportionment:US.BlockGroups,1,99,US,28043,46,0.03680642,6.38011E-05
100,47,065,47197703,00000020,00001010,4706500001010,G6320,S,965028,0,+34.9910556,-085.2824988,,,,,44546,584,940,1207,171,1036,3239.4,6.2,1.6,0.37259728,0.37259728,BlockApportionment:US.BlockGroups,1,100,US,193,33.28,BlockApportionment:US.BlockGroups,1,100,US,1741,18273052.47,BlockApportionment:US.BlockGroups,1,100,US,30569,50,0.046356876,9.52769E-05
101,47,065,47197703,00000020,00001040,4706500001040,G6320,S,1800027,0,+34.9924938,-085.2705122,,,,,53716,810,1396,980,46,934,1410.1,3.8,1.7,0.694991034,0.694991034,BlockApportionment:US.BlockGroups,1,101,US,189,23.54,BlockApportionment:US.BlockGroups,1,101,US,1845,10381537.71,BlockApportionment:US.BlockGroups,1,101,US,50910,84,0.068255552,0.000177719
102,47,065,47197703,00000020,00000820,4706500000820,G6320,S,17034124,1898161,+35.0838597,-085.3602495,,,,,115886,623,1707,749,90,659,102.5,1.4,2.3,7.309762939,7.309762939,BlockApportionment:US.BlockGroups,1,102,US,14,1.9,BlockApportionment:US.BlockGroups,1,102,US,1536,820891.9394,BlockApportionment:US.BlockGroups,1,102,US,63643,105,0.244218354,0.001871135
103,47,065,47197703,00000020,00000840,4706500000840,G6320,S,8241197,0,+35.0362228,-085.3866496,,,,,122176,271,474,360,82,278,113.1,0,1.5,3.181926006,3.181926006,BlockApportionment:US.BlockGroups,1,103,US,58,18.71,BlockApportionment:US.BlockGroups,1,103,US,661,811947.3341,BlockApportionment:US.BlockGroups,1,103,US,69428,115,0.171946013,0.000814092
104,47,065,47197703,00000020,00000830,4706500000830,G6320,S,3172183,349261,+35.0352251,-085.3593844,,,,,78818,620,970,1023,187,836,752.4,2.5,2,1.359631095,1.359631095,BlockApportionment:US.BlockGroups,1,104,US,91,19.08,BlockApportionment:US.BlockGroups,1,104,US,1460,4197177.595,BlockApportionment:US.BlockGroups,1,104,US,58739,97,0.108215772,0.000347853
105,47,065,47197703,00000020,00000900,4706500000900,G6320,S,697797,0,+35.0030726,-085.3163749,,,,,28248,286,273,770,271,499,2858.2,20.3,1,0.269420331,0.269420331,BlockApportionment:US.BlockGroups,1,105,US,133,47.84,BlockApportionment:US.BlockGroups,1,105,US,748,10855769.63,BlockApportionment:US.BlockGroups,1,105,US,17791,29,0.03753445,6.89035E-05
106,47,065,47197703,00000020,00000960,4706500000960,G6320,S,2354079,0,+35.0114863,-085.2985537,,,,,33144,386,457,1374,773,601,1511.7,15.7,1.4,0.908913057,0.908913057,BlockApportionment:US.BlockGroups,1,106,US,117,35.24,BlockApportionment:US.BlockGroups,1,106,US,1020,4387562.827,BlockApportionment:US.BlockGroups,1,106,US,25728,42,0.079663142,0.000232475
107,47,065,47197703,00000010,00000360,4706500000360,G6320,S,565409,0,+35.0298005,-085.3013182,,,,,80646,224,215,574,411,163,2629.4,1.6,1.7,0.218304449,0.218304449,BlockApportionment:US.BlockGroups,1,107,US,21,16.41,BlockApportionment:US.BlockGroups,1,107,US,520,9310880.521,BlockApportionment:US.BlockGroups,1,107,US,57201,94,0.033732599,5.58486E-05
108,47,065,47197703,00000010,00000430,4706500000430,G6320,S,902324,0,+35.0257617,-085.2945076,,,,,48221,3,4,1054,1030,24,3025.3,4.3,2,0.348387794,0.348387794,BlockApportionment:US.BlockGroups,1,108,US,1,50,BlockApportionment:US.BlockGroups,1,108,US,49,549799.3456,BlockApportionment:US.BlockGroups,1,108,US,30000,50,0.038990507,8.91234E-05
109,47,065,47197703,00000010,00000140,4706500000140,G6320,S,598194,0,+35.0441019,-085.3183954,,,,,13348,1799,0,3002,748,2254,12995.7,17,0,0.230962351,0.230962351,BlockApportionment:US.BlockGroups,1,109,US,899,61.83,BlockApportionment:US.BlockGroups,1,109,US,2950,49917885.43,BlockApportionment:US.BlockGroups,1,109,US,10253,17,0.035318488,5.90971E-05
110,47,065,47197703,00000040,00001410,4706500001410,G6320,S,2060639,0,+34.9985340,-085.2265366,,,,,46014,761,1423,2791,1898,893,3508,0.8,1.7,0.795615109,0.795615109,BlockApportionment:US.BlockGroups,1,110,US,194,22.53,BlockApportionment:US.BlockGroups,1,110,US,1881,9244827.572,BlockApportionment:US.BlockGroups,1,110,US,37389,62,0.05770336,0.000203465
111,47,065,47197703,00000040,00001430,4706500001430,G6320,S,1514341,0,+34.9957761,-085.2131534,,,,,43632,546,698,1710,1132,578,2924.6,0,1.1,0.584688889,0.584688889,BlockApportionment:US.BlockGroups,1,111,US,135,22.09,BlockApportionment:US.BlockGroups,1,111,US,1033,6908804.346,BlockApportionment:US.BlockGroups,1,111,US,32316,53,0.054156795,0.000149519
112,47,065,47197703,00000040,00001440,4706500001440,G6320,S,6912675,0,+34.9976821,-085.1922658,,,,,65608,1268,2136,2463,1077,1386,922.8,1.8,1.9,2.668988229,2.668988229,BlockApportionment:US.BlockGroups,1,112,US,116,10.31,BlockApportionment:US.BlockGroups,1,112,US,2898,4245894.526,BlockApportionment:US.BlockGroups,1,112,US,42712,71,0.126413729,0.000682542
113,47,065,47197703,00000010,00000590,4706500000590,G6320,S,2023368,0,+35.0616986,-085.2626165,,,,,30416,372,0,1921,1227,694,2459,18.8,0,0.781224154,0.781224154,BlockApportionment:US.BlockGroups,1,113,US,131,30.97,BlockApportionment:US.BlockGroups,1,113,US,926,4631469.245,BlockApportionment:US.BlockGroups,1,113,US,19065,31,0.073683384,0.000199937
114,47,065,47197703,00000010,00000510,4706500000510,G6320,S,1102185,0,+35.0501254,-085.2685224,,,,,32991,781,854,1445,237,1208,3395.2,15.6,1.1,0.425555172,0.425555172,BlockApportionment:US.BlockGroups,1,114,US,257,32.12,BlockApportionment:US.BlockGroups,1,114,US,1895,17401923.21,BlockApportionment:US.BlockGroups,1,114,US,24918,41,0.042840892,0.000108896
115,47,065,47197703,00000010,00000150,4706500000150,G6320,S,230387,0,+35.0421433,-085.3136367,,,,,68798,1,0,841,840,1,9449.4,0,0,0.08895274,0.08895274,BlockApportionment:US.BlockGroups,1,115,US,0,0,BlockApportionment:US.BlockGroups,1,115,US,1,43936.58022,BlockApportionment:US.BlockGroups,1,115,US,0,0,0.024456421,2.27601E-05
116,47,065,47197703,00000010,00000200,4706500000200,G6320,S,217334,0,+35.0346178,-085.3102943,,,,,80645,242,382,608,483,125,7246.7,1.7,1.7,0.083913535,0.083913535,BlockApportionment:US.BlockGroups,1,116,US,37,16.3,BlockApportionment:US.BlockGroups,1,116,US,409,19050928.73,BlockApportionment:US.BlockGroups,1,116,US,57044,94,0.01930854,2.14688E-05
117,47,065,47197703,00000010,00000190,4706500000190,G6320,S,307471,0,+35.0368439,-085.3154321,,,,,0,0,0,284,284,0,2392.6,0,0,0.118714513,0.118714513,BlockApportionment:US.BlockGroups,1,117,US,0,0,BlockApportionment:US.BlockGroups,1,117,US,0,0,BlockApportionment:US.BlockGroups,1,117,US,0,0,0.022236302,3.03732E-05
118,47,065,47197703,00000010,00000220,4706500000220,G6320,S,163929,0,+35.0311154,-085.3117273,,,,,80647,10,20,103,94,9,1627.2,0,1.7,0.063293421,0.063293421,BlockApportionment:US.BlockGroups,1,118,US,2,16.67,BlockApportionment:US.BlockGroups,1,118,US,28,1729189.524,BlockApportionment:US.BlockGroups,1,118,US,60675,100,0.016646887,1.61926E-05
119,47,065,47197703,00000010,00000100,4706500000100,G6320,S,81189,105044,+35.0565670,-085.3121085,,,,,68798,6,7,432,427,5,6008.3,0,0.9,0.071904636,0.071904636,BlockApportionment:US.BlockGroups,1,119,US,2,25,BlockApportionment:US.BlockGroups,1,119,US,8,434752.4107,BlockApportionment:US.BlockGroups,1,119,US,29226,48,0.02063199,1.84013E-05
120,47,065,47197703,00000010,00000080,4706500000080,G6320,S,55085,0,+35.0534849,-085.3107381,,,,,68798,1,0,944,943,1,44319.2,0,0,0.021268019,0.021268019,BlockApportionment:US.BlockGroups,1,120,US,0,0,BlockApportionment:US.BlockGroups,1,120,US,1,183738.1404,BlockApportionment:US.BlockGroups,1,120,US,0,0,0.009354379,5.44253E-06
121,47,065,47197703,00000010,00000050,4706500000050,G6320,S,56076,0,+35.0509333,-085.3106645,,,,,68798,4,3,2013,2009,4,92765,0,0.8,0.02165067,0.02165067,BlockApportionment:US.BlockGroups,1,121,US,1,25,BlockApportionment:US.BlockGroups,1,121,US,6,1082977.919,BlockApportionment:US.BlockGroups,1,121,US,7500,12,0.009448147,5.54028E-06
122,47,065,47197703,00000010,00000020,4706500000020,G6320,S,85209,0,+35.0476936,-085.3105550,,,,,68794,118,0,1999,1902,97,60759.9,4.2,0,0.032899595,0.032899595,BlockApportionment:US.BlockGroups,1,122,US,0,0,BlockApportionment:US.BlockGroups,1,122,US,166,19718512.04,BlockApportionment:US.BlockGroups,1,122,US,33199,55,0.012178148,8.41849E-06
123,47,065,47197703,00000010,00000160,4706500000160,G6320,S,100116,0,+35.0437920,-085.3105431,,,,,0,0,0,4502,4497,5,116330.7,0,0,0.038654183,0.038654183,BlockApportionment:US.BlockGroups,1,123,US,0,0,BlockApportionment:US.BlockGroups,1,123,US,9,909961.4349,BlockApportionment:US.BlockGroups,1,123,US,0,0,0.014072129,9.89053E-06
124,47,065,47197703,00000010,00000240,4706500000240,G6320,S,145680,0,+35.0458647,-085.3049636,,,,,61813,103,112,1661,1485,176,29555.2,6.1,1.2,0.05624732,0.05624732,BlockApportionment:US.BlockGroups,1,124,US,31,31.96,BlockApportionment:US.BlockGroups,1,124,US,296,20566293.59,BlockApportionment:US.BlockGroups,1,124,US,27785,46,0.016486576,1.43925E-05
125,47,065,47197703,00000010,00000170,4706500000170,G6320,S,190234,0,+35.0433289,-085.3070446,,,,,68610,268,259,3506,3293,213,47765.7,4.4,0.9,0.073449467,0.073449467,BlockApportionment:US.BlockGroups,1,125,US,90,30.93,BlockApportionment:US.BlockGroups,1,125,US,360,19155489.05,BlockApportionment:US.BlockGroups,1,125,US,33036,55,0.02130212,1.87936E-05
126,47,065,47197703,00000010,00000180,4706500000180,G6320,S,224153,0,+35.0392128,-085.3099520,,,,,68794,79,97,1335,1267,68,15433.5,3.9,0.9,0.086546348,0.086546348,BlockApportionment:US.BlockGroups,1,126,US,34,31.19,BlockApportionment:US.BlockGroups,1,126,US,117,5283698.085,BlockApportionment:US.BlockGroups,1,126,US,32502,54,0.019229576,2.21436E-05
127,47,065,47197703,00000080,00000670,4706500000670,G6320,S,1583419,0,+35.0683365,-085.3023336,,,,,104196,1196,1809,1477,832,645,2415.8,2.5,1.7,0.611358444,0.611358444,BlockApportionment:US.BlockGroups,1,127,US,85,8.03,BlockApportionment:US.BlockGroups,1,127,US,2442,15606248.72,BlockApportionment:US.BlockGroups,1,127,US,63837,105,0.052245713,0.000156476
128,47,065,47197703,00000080,00000680,4706500000680,G6320,S,1941810,452603,+35.0700965,-085.2833995,,,,,184723,303,722,593,348,245,641.4,0,2.2,0.924484231,0.924484231,BlockApportionment:US.BlockGroups,1,128,US,8,2.4,BlockApportionment:US.BlockGroups,1,128,US,697,2945515.903,BlockApportionment:US.BlockGroups,1,128,US,120883,200,0.073353197,0.000236631
129,47,065,47197703,00000080,00000420,4706500000420,G6320,S,997695,366676,+35.0594842,-085.2921472,,,,,120275,471,656,694,150,544,1317.4,0.2,1.5,0.526783137,0.526783137,BlockApportionment:US.BlockGroups,1,129,US,20,4.65,BlockApportionment:US.BlockGroups,1,129,US,942,6987303.88,BlockApportionment:US.BlockGroups,1,129,US,81261,134,0.053023852,0.000134816
130,47,065,47197703,00000080,00000410,4706500000410,G6320,S,155198,125665,+35.0600997,-085.3039948,,,,,122582,93,129,603,528,75,5562.7,0,1.5,0.10844207,0.10844207,BlockApportionment:US.BlockGroups,1,130,US,4,4.71,BlockApportionment:US.BlockGroups,1,130,US,127,4576133.034,BlockApportionment:US.BlockGroups,1,130,US,84385,139,0.022912757,2.77527E-05
