OBJECTID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopres_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,Shape_Area_sqmi,Shape_Area_sqmi1,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,atrisk_acshhbpov,atrisk_acshhbpov_p,aggregationMethod_12,HasData_12,ORIGINAL_OID_12,sourceCountry_12,populationtotals_totpop_cy,total_population_density,aggregationMethod_12_13,HasData_12_13,ORIGINAL_OID_12_13,sourceCountry_12_13,householdincome_medhinc_cy,householdincome_medhinc_cy_i,Shape_Length,Shape_Area
15,47,065,47197703,00000050,00001170,4706500001170,G6320,S,2382144,1010863,+35.0958357,-085.2149270,,,,,102409,331,702,585,158,427,446.6,5.2,2.3,1.310041927,1.310041927,BlockApportionment:US.BlockGroups,1,15,US,7,2.27,BlockApportionment:US.BlockGroups,1,15,US,787,2346373.082,BlockApportionment:US.BlockGroups,1,15,US,65534,108,0.096302298,0.000335411
16,47,065,47197703,00000030,00001160,4706500001160,G6320,S,2919291,89871,+35.0896219,-085.2256950,,,,,102537,94,199,1358,1240,118,1168.9,4.7,2.3,1.161837272,1.161837272,BlockApportionment:US.BlockGroups,1,16,US,2,2.27,BlockApportionment:US.BlockGroups,1,16,US,219,736261.394,BlockApportionment:US.BlockGroups,1,16,US,65340,108,0.099909519,0.000297449
17,47,065,47197703,00000030,00001150,4706500001150,G6320,S,2101277,0,+35.0816232,-085.2347774,,,,,47331,506,702,787,69,718,970,4.6,1.7,0.811304785,0.811304785,BlockApportionment:US.BlockGroups,1,17,US,133,31.37,BlockApportionment:US.BlockGroups,1,17,US,1303,6273930.67,BlockApportionment:US.BlockGroups,1,17,US,36262,60,0.090707629,0.000207685
18,47,065,47197703,00000030,00003000,4706500003000,G6320,S,1803274,0,+35.0722969,-085.2468655,,,,,41005,930,1308,1986,497,1489,2852.6,5.5,1.4,0.696243752,0.696243752,BlockApportionment:US.BlockGroups,1,18,US,356,38.03,BlockApportionment:US.BlockGroups,1,18,US,2558,14353813.99,BlockApportionment:US.BlockGroups,1,18,US,30051,50,0.067731093,0.00017821
19,47,065,47197703,00000030,00001180,4706500001180,G6320,S,2082178,0,+35.0741243,-085.2153274,,,,,44840,362,386,685,145,540,852.1,0.8,1.4,0.803930418,0.803930418,BlockApportionment:US.BlockGroups,1,19,US,74,27.11,BlockApportionment:US.BlockGroups,1,19,US,909,4417371.819,BlockApportionment:US.BlockGroups,1,19,US,37658,62,0.061477515,0.000205778
20,47,065,47197703,00000040,00002130,4706500002130,G6320,S,3674236,4253,+34.9971468,-085.1633645,,,,,102644,732,1332,910,162,748,640.7,2,1.8,1.420265587,1.420265587,BlockApportionment:US.BlockGroups,1,20,US,121,16.78,BlockApportionment:US.BlockGroups,1,20,US,1686,4642257.508,BlockApportionment:US.BlockGroups,1,20,US,64524,107,0.090603647,0.000363185
21,47,065,47197703,00000070,00002740,4706500002740,G6320,S,17580757,0,+35.0997667,-085.0344192,,,,,104964,835,1587,2411,1148,1263,355.2,2.3,2,6.787939636,6.787939636,BlockApportionment:US.BlockGroups,1,21,US,69,8.6,BlockApportionment:US.BlockGroups,1,21,US,2231,1283648.253,BlockApportionment:US.BlockGroups,1,21,US,64776,107,0.169588328,0.001738015
22,47,065,47197703,00000070,00002520,4706500002520,G6320,S,5200388,0,+35.0733295,-085.0748286,,,,,83057,880,1354,2404,1466,938,1197.3,0.5,1.9,2.007874567,2.007874567,BlockApportionment:US.BlockGroups,1,22,US,110,15.8,BlockApportionment:US.BlockGroups,1,22,US,2173,4228105.682,BlockApportionment:US.BlockGroups,1,22,US,76771,127,0.110555426,0.000513942
23,47,065,47197703,00000060,00002090,4706500002090,G6320,S,2334923,0,+35.0179587,-085.1527272,,,,,75651,503,1001,2352,1868,484,2609,0.3,1.8,0.90151473,0.90151473,BlockApportionment:US.BlockGroups,1,23,US,0,0,BlockApportionment:US.BlockGroups,1,23,US,1109,4809173.988,BlockApportionment:US.BlockGroups,1,23,US,59728,99,0.063674859,0.000230601
24,47,065,47197703,00000060,00002160,4706500002160,G6320,S,3323996,0,+35.0100539,-085.1388870,,,,,83847,781,937,1334,399,935,1039.4,7.9,1.8,1.283396843,1.283396843,BlockApportionment:US.BlockGroups,1,24,US,69,13.35,BlockApportionment:US.BlockGroups,1,24,US,1912,5824785.168,BlockApportionment:US.BlockGroups,1,24,US,55435,92,0.077953628,0.000328252
