Household_Density,Daytime_Pop_Density,Percent_Unemployed,Average_Number_Vehicles,Percent_Poverty,Total_Population_density,Median_Household_Income,Undeveloped_Space_per_sqmi,Developed_Open_Spaced_sqmi,Developed_Low_Intensity_sqmi,Developed_Medium_Intensity_sqmi,Developed_High_Intensity_sqmi,Net_Passengers
179.4235299,289.7,3.9,2.1,5.96,1900273.495,102836,4.25848995,0.66752829,0.30127383,0.05976828,0.00799227,0
812.3128814,1464.6,4.9,2,3.72,8663575.768,81212,0.27625455,0.18903456,0.22517352,0.03092661,0.00382239,0
341.4688556,740.1,2.8,1.4,4.8,2950012.891,50720,1.02996036,0.35339733,0.138996,0.06845553,0.01667952,0
976.8645894,1125.2,0.4,1.7,22.83,8159110.139,54085,0.05420844,0.22656348,0.06984549,0.01633203,0.00034749,3
1133.268607,1795.6,1.4,1.5,16.51,9872119.354,39659,0.13065624,0.36382203,0.24220053,0.06845553,0.0208494,0
596.0404084,1727.2,2.3,2,6.36,5442017.424,51769,0.21370635,0.19042452,0.18555966,0.07158294,0.01250964,0
1460.76073,2817.2,5.3,0,22.78,12795040.3,38451,0,0.13065624,0.11606166,0.03405402,0.0277992,34
377.1044287,822.6,2.9,1.9,9.7,3452405.13,38788,0.54069444,0.28389933,0.24359049,0.08860995,0.0277992,4
1790.487206,2381,7.4,0,31.45,16862869.58,33711,0,0.13691106,0.07922772,0.00173745,0,0
1070.165296,1373.4,3.7,0,20.5,9256661.92,59959,0.0173745,0.35687223,0.17930484,0.02189187,0.00382239,0
318.3318915,467.1,3.1,1.7,15.28,2856967.81,42279,1.15262433,0.23942061,0.17652492,0.05455593,0.00972972,0
715.8518823,3418.6,4.9,1.6,20.13,7138215.919,36880,0.01563705,0.19876428,0.17478747,0.0868725,0.04691115,0
372.0656915,551.4,1.8,2.4,0,3957443.23,131992,0.6046326,0.42081039,0.17513496,0.05351346,0.00138996,0
492.9382119,1107.9,2.7,2,21.55,4817951.229,30029,0.13621608,0.243243,0.13343616,0.07436286,0.0277992,5
0,284.3,0,0,0,0,0,2.70312471,1.10884059,0.78254748,0.61575228,0.63521172,1
1423.499025,2420.3,7.3,1.6,9.13,14438480.84,37935,0.01424709,0.17513496,0.21301137,0.02189187,0.00243243,0
133.9044158,180.9,13.6,2.2,6.03,1380781.539,51093,2.21246883,0.25818507,0.15324309,0.01806948,0.00799227,0
125.7952495,206.7,8.1,1.9,15.06,1169608.602,59024,4.39748595,0.55042416,0.3301155,0.06706557,0.0173745,0
860.0259901,2188,4.1,1.7,15.16,7810638.675,47336,0.28111941,0.58169826,0.27521208,0.069498,0.04378374,0
390.1791531,548.1,3,1.7,15.32,3325831.201,41990,1.04420745,0.30127383,0.14664078,0.03231657,0.00868725,0
551.9159042,1123.6,0,1.8,20.87,4943564.989,60057,0.35826219,0.39544362,0.17513496,0.02710422,0.0069498,0
214.5390982,676,1.6,1.5,0,1902906.71,36860,1.71625311,0.27138969,0.16019289,0.08374509,0.02571426,0
488.0110273,722.8,0,2,10.42,5133955.012,67271,0.81416907,0.58656312,0.30683367,0.0277992,0.00173745,0
1913.245123,2432.2,1.4,1.6,12.34,15818640.73,46702,0.00277992,0.23420826,0.11953656,0.02258685,0.00764478,2
438.3969494,3084.1,5.4,1.6,31.82,4915511.409,30531,0,0.00938223,0.04308876,0.06289569,0.02362932,28
26.96097645,1184.2,7.1,1.4,17.65,186264.9834,28027,0.18104229,0.19494189,0.21961368,0.17131257,0.19737432,13
468.1219299,727,11.9,1.9,9.3,4692791.14,37978,0.29328156,0.28216188,0.07922772,0.00833976,0.00034749,1
6.947809532,2105.1,0,0,0,81408.19774,200001,0.11675664,0.05420844,0.11189178,0.08166015,0.06567561,0
906.3966059,1491.9,4.2,1.8,8.45,8745526.974,41683,0.12127401,0.37737414,0.13725855,0.01563705,0.00277992,12
887.8715374,4943.4,4.8,1.6,20.42,6911957.607,36776,0.00173745,0.08061768,0.08305011,0.0903474,0.1320462,20
1247.767523,2268.1,0.5,1.3,12.97,9381189.299,37652,0.1598454,0.29328156,0.23108085,0.11745162,0.06011577,22
109.8841874,12504.7,3.8,1.8,4.35,1014499.904,57161,0,0.03301155,0.06324318,0.22308858,0.20779902,154
943.4017286,1599.3,0.7,0,6.89,9751349.917,71516,0.50490297,0.43401501,0.43609995,0.09833967,0.01911195,0
108.7683697,2444.4,4,1.5,18.18,924080.0193,50000,0.02675673,0.05073354,0.04586868,0.06011577,0.02675673,0
555.9225238,1669.1,1.2,1.8,3.34,4857683.72,53335,0.22274109,0.48405357,0.44617716,0.23038587,0.12196899,7
673.4247314,1058.8,2.8,2,31.75,6495640.843,53737,0.12370644,0.24289551,0.19250946,0.03961386,0.0069498,3
