2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Household_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,PrimaryLengthMeters,SecondaryLengthMeters,TertiaryLengthMeters,WalkingLengthMeters,Pri_LengthMetersHalf,Ridership
0,0,0,31872,3553.144351,28030.36099,,,,2370,10770,,2591.521924,,149.5167738,511.7652746,128.8451172,185.922652,149.5167738,464
19.05,0,59.46,10078,6165.932049,8173.444809,,,10260,7770,,1542.640227,,,395.6709678,19.36946464,306.2739154,19.86827813,395.6709678,464
17.31,0,61.19,10169,16061.76428,27479.16299,,900,6450,5910,,2730.217287,,,,,697.8461074,977.2941013,,464
0,0,0,0,0,0,,1650,13860,4830,270,,,547.3254418,,,,428.2077066,,464
0,0,0,0,254.6410917,5092.821834,,,90,3390,6780,,1960.117377,,151.3688596,15.44854936,453.4340718,,151.3688596,457
0,0,0,0,0,0,,420,120,,,,,,,,148.9233474,,,465
0,0,0,78261,1772.644097,1920.364439,6150,9630,19350,,,3955.95935,,,,,854.0246929,,,464
0,0,0,79245,1042.579756,1080.491747,42120,43290,29850,19650,,13631.60027,236.9713722,,,,1932.731149,,,464
2.7,0,10,66082,805.9792067,1250.65739,14910,49560,28800,,,6403.102049,,,,,1486.92975,,,464
0,0,0,0,0,0,,300,,,,,,,324.7240186,,,,324.7240186,464
0,0,0,0,0,0,,,270,,,,,,233.5862141,,,,233.5862141,464
1.61,0,0,131475,511.5926908,650.9200619,381240,447450,271800,86730,570,87252.02102,1044.98415,754.4292693,,,7771.770176,,,464
0,0,0,0,0,6396.522534,900,,30,1530,15960,,3731.148371,,460.9049629,,286.7405684,,460.9049629,464
0,0,0,0,0,0,,,3570,3270,480,,,,661.5216967,,110.8005684,,661.5216967,464
0,0,0,0,0,547.1364459,,,660,6720,6810,,1864.213952,,303.0610959,,170.1063839,,303.0610959,464
0,0,0,0,0,0,,,270,660,,,,,,,95.94368527,,,451
0,0,0,0,0,0,,,,30,510,,,,,252.3739803,45.34437781,,,453
0,0,0,0,0,0,200910,960,660,2040,300,,,,382.2887637,,,,382.2887637,464
0,0,0,0,0,0,1680,10200,4650,10500,7680,,8403.648236,,,,103.1471349,,,459
0,0,0,0,0,0,,300,2970,2790,90,,,,145.4897052,205.6356098,34.06791254,308.3863859,145.4897052,464
0,0,0,0,0,4615.689356,210,,12480,34380,23130,,13569.4353,,367.6818599,264.8580409,782.5329022,17.05660452,367.6818599,464
0,0,0,0,0,0,,,1020,4110,750,,,,553.9448444,,110.8005684,,553.9448444,464
0,0,0,0,0,1788.042757,,,,180,5580,,324.4882659,,105.8404509,,431.1509188,,105.8404509,439
