No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
48,2060,121132,49,73,1535,1113,422,4613.8,1.8,1.7,0.332684871,0,0,1474,17313726.81,71980,119,0,0,0
49,1580,48757,558,802,1121,563,558,1841.9,3.8,1.4,0.608611291,39,6.94,1085,6962842.388,35000,58,25,15,10
50,1940,133319,950,2153,1534,231,1303,289.7,3.9,2.1,5.294734756,60,5.96,2578,1900273.495,102836,170,0,0,0
51,2320,96845,589,1185,1062,239,823,1464.6,4.9,2,0.725090065,22,3.72,1610,8663575.768,81212,134,0,0,0
52,1910,78827,549,694,1190,532,658,740.1,2.8,1.4,1.607760096,23,4.8,1215,2950012.891,50720,84,0,0,0
53,700,75397,362,471,417,193,224,1125.2,0.4,1.7,0.370573367,63,22.83,774,8159110.139,54085,89,30,27,3
54,790,53753,936,1490,1483,455,1028,1795.6,1.4,1.5,0.825929523,160,16.51,2088,9872119.354,39659,66,0,0,0
55,800,85342,402,783,1165,675,490,1727.2,2.3,2,0.674450917,25,6.36,940,5442017.424,51769,86,0,0,0
56,1300,54809,449,0,866,390,476,2817.2,5.3,0,0.30737409,100,22.78,1006,12795040.3,38451,64,268,234,34
57,1340,49952,447,901,975,491,484,822.6,2.9,1.9,1.185348052,45,9.7,1047,3452405.13,38788,64,6,10,4
58,1310,38538,391,0,520,2,518,2381,7.4,0,0.218376316,117,31.45,942,16862869.58,33711,56,0,0,0
59,1840,73252,621,0,797,140,657,1373.4,3.7,0,0.580284188,98,20.5,1376,9256661.92,59959,99,0,0,0
60,1820,61014,520,667,763,90,673,467.1,3.1,1.7,1.633515252,59,15.28,1196,2856967.81,42279,70,0,0,0
61,1880,52348,375,505,1791,1293,498,3418.6,4.9,1.6,0.523851385,62,20.13,958,7138215.919,36880,61,0,0,0
62,2500,183709,469,1222,695,63,632,551.4,1.8,2.4,1.260530091,0,0,1278,3957443.23,131992,218,0,0,0
63,1990,43949,303,786,681,272,409,1107.9,2.7,2,0.614681501,86,21.55,758,4817951.229,30029,50,12,7,5
64,2210,0,0,0,1661,1661,0,284.3,0,0,5.842942202,0,0,0,0,0,0,15,16,1
65,1980,48645,607,1124,1032,140,892,2420.3,7.3,1.6,0.426414061,64,9.13,1576,14438480.84,37935,63,0,0,0
66,2350,56384,356,612,481,59,422,180.9,13.6,2.2,2.658612846,17,6.03,941,1380781.539,51093,84,0,0,0
67,2360,85188,675,1323,1109,284,825,206.7,8.1,1.9,5.365862404,103,15.06,1609,1169608.602,59024,97,0,0,0
68,1850,71107,1077,1743,2740,1458,1282,2188,4.1,1.7,1.252287736,153,15.16,2506,7810638.675,47336,78,0,0,0
69,1830,60974,598,767,840,110,730,548.1,3,1.7,1.532629294,68,15.32,1306,3325831.201,41990,69,0,0,0
70,1860,73085,532,1102,1083,258,825,1123.6,0,1.8,0.963914966,125,20.87,1221,4943564.989,60057,99,0,0,0
71,3010,57781,484,919,1525,976,549,676,1.6,1.5,2.255999042,0,0,1100,1902906.71,36860,61,0,0,0
