2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Household_Density,PrimaryLengthMeters,Pri_LengthMeters_Half,SecondaryLengthMeters,TeriaryLengthMeters,WalkLengthMeters,Ridership
643.7,4.9,2,3.57,81301,186532.8295,14261.67801,5693.951766,2234700,846000,663300,306000,49500,423.6822093,,,1744.482501,17049.53442,,0
1236.9,0,0,0,93323,245163.859,23611.43709,3330.603852,551700,1503000,1156500,125100,15300,819.3247876,,,3286.817703,24211.67497,538.9079803,0
1002.7,4.8,1.9,3.31,61337,148340.178,8346.46401,1224.798868,1018800,1052100,498600,190800,34200,822.681634,3833.905023,1916.952511,3796.868578,12474.77222,4586.662585,0
2490.9,3,1.8,5.51,55207,174148.0382,40475.8421,2470.160276,24300,795600,1038600,353700,125100,1036.153703,11963.15585,5981.577923,5438.337854,16517.29435,90.03329964,0
2941.8,2.4,1.7,6.45,55715,34581.20197,101639.534,2869.645162,360900,373500,455400,662400,624600,130.8732284,2794.556801,1397.2784,1214.259511,4626.468726,,2
6631.1,0,1.2,12.5,37752,5102.587321,60342.28828,27033.70178,83700,153900,150300,180000,180900,110.0219871,2163.777522,1081.888761,1048.689695,2688.015993,,8
2193.4,0,2.1,11.37,91345,108385.3396,62834.31631,1233.873006,109800,654300,619200,336600,120600,699.7627933,6528.167374,4383.351771,749.1484689,9936.036408,,24
1210.3,2.3,1.7,6.02,55649,155929.1267,37395.34204,1973.344479,980100,932400,797400,231300,34200,668.7779436,,,4072.793515,13890.13905,,0
1995.6,3.6,1.4,15.52,57829,212542.4884,47968.06966,811.0056791,393300,869400,863100,286200,57600,1312.705669,,,3185.981115,14356.22678,,0
6507.7,1,1.1,11.38,40463,44735.27829,26846.91195,117.0680858,37800,93600,166500,230400,116100,1629.104226,3289.043273,2379.590247,686.8115522,2125.308941,,33
4349.5,1,1.1,11.22,40341,62141.31279,37109.56806,156.5051847,25200,348300,243000,207000,49500,1721.226303,1470.137221,1470.137221,1687.854713,2734.328219,,37
1137.2,1.9,2.1,5.9,79400,187794.1953,13503.09914,764.4698808,1272600,1203300,799200,90900,3600,630.3646639,,,2468.978242,18258.32562,,0
4613.8,1.8,1.7,0,71980,3883.469839,54116.83574,2869.124809,48600,227700,280800,201600,102600,147.2983471,3278.058796,1639.029398,2517.530901,1849.89366,,0
1841.9,3.8,1.4,6.94,35000,58846.51427,41482.69388,75.65748848,530100,411300,333900,241200,54000,916.9497168,2700.322475,2123.293492,,8956.603268,,10
289.7,3.9,2.1,5.96,102836,247713.0275,12809.76877,3079.487672,11029500,1728900,780300,154800,20700,179.4431571,,,2993.066901,37897.331,,0
1464.6,4.9,2,3.72,81212,111685.4116,13593.31788,311.9076189,715500,489600,583200,80100,9900,812.4249026,,,,13930.62455,125.2845281,0
740.1,2.8,1.4,4.8,50720,109698.2671,37333.05446,2290.756538,2667600,915300,360000,177300,43200,341.5171601,,,2817.869137,16562.37665,288.4116892,0
1125.2,0.4,1.7,22.83,54085,48643.60689,16444.45095,678.8129773,140400,586800,180900,42300,900,977.0637175,515.3896398,515.3896398,,11979.13862,102.5017269,3
1795.6,1.4,1.5,16.51,39659,129511.2756,24809.69499,361.8012225,338400,942300,627300,177300,54000,1133.500099,7765.473605,5263.179621,,18760.32212,4028.013217,0
1727.2,2.3,2,6.36,51769,63263.09638,63020.44613,1299.602024,553500,493200,480600,185400,32400,596.166477,1739.398777,869.6993885,,9534.12006,651.7647153,0
2817.2,5.3,0,22.78,38451,52245.26926,35451.46202,0,0,338400,300600,88200,72000,1460.987319,1661.147182,1661.147182,791.3054985,9699.61854,961.8406479,34
