2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Household_Density,PrimaryLengthMeters,Pri_LengthMeters_Half,SecondaryLengthMeters,TeriaryLengthMeters,WalkLengthMeters,Ridership
125524.5,7.1,0.9,32,35000,133.2549306,13845.20429,8339.105609,0,0,2700,46800,63000,536.349472,,,1515.043872,2051.161462,582.6436881,463
71769.7,4.7,0.9,32.35,31923,5736.799629,28826.915,369.1017355,1800,0,2700,25200,63900,1350.413789,183.2356681,183.2356681,1068.222985,1861.904218,938.2939864,714
3292.2,6.5,1.8,24.04,34465,13578.45742,58386.81092,271.0598251,22500,36000,100800,142200,91800,733.9942551,117.938811,58.96940549,1745.987242,4500.314782,2842.215368,109
2457.3,6.8,1.5,24.02,31943,89113.20935,54256.30826,5443.040573,73800,475200,445500,276300,80100,785.9362919,5706.86354,4082.49025,114.0491021,17881.59006,445.5288402,39
1159.6,4.6,1.8,12.7,42241,43541.54801,643.3886679,486.8693111,121500,565200,134100,48600,900,926.6005854,3284.121888,1980.783795,,9304.976914,,0
1020.5,3.5,1.4,21.71,33867,95143.27079,25078.32222,1085.049837,1313100,1073700,443700,51300,13500,624.7098735,,,3954.073465,16331.49095,59.66587853,9
1555.4,3.4,2,7.94,55548,89036.81352,11431.98927,180.8112569,131400,734400,400500,36000,5400,1074.169673,2146.447006,2146.447006,,12694.18708,,6
4266.3,3.4,1.5,28.25,31117,111197.8459,84184.28659,4695.597713,17100,27900,481500,329400,133200,1763.401277,2315.206575,2315.206575,1877.565258,15345.02712,668.9107633,19
3141.3,7,0.9,29.81,22604,33947.88465,57663.97904,4561.338288,0,136800,302400,312300,168300,747.564317,7248.213355,4776.19547,,9687.996168,,56
9689.8,17.5,0.8,54.25,15357,0,57399.57942,1528.363595,0,15300,117000,129600,125100,2946.391289,1220.548116,610.2740581,,5639.444419,,86
5603.6,15.3,1.1,46.34,20281,69832.93069,124044.4253,5364.726574,1800,68400,524700,337500,205200,1161.849724,,,,15938.64706,,33
4403.5,13.3,1.4,37.89,28926,38257.93247,48075.39506,1789.225111,900,18000,276300,215100,86400,1054.379641,2574.329968,1486.474834,,9165.738028,,90
4411.1,4.4,1.5,30.87,29307,83362.8734,95265.53825,7997.695385,9900,124200,538200,332100,297000,1002.883916,6682.2439,4668.721983,1176.66842,15053.38204,199.9021222,75
1835,1.1,1.6,5.81,46533,104739.5249,46175.27526,671.7092476,240300,883800,506700,141300,61200,928.2589487,3940.530852,3940.530852,,14204.95159,61.84246016,3
1239.8,7.4,2.2,8.85,53409,124531.3239,29839.41204,1222.299012,567000,933300,646200,213300,77400,817.7993006,7981.904557,5587.960319,,15836.67927,252.5617129,9
558.9,2,0,5.45,174931,123076.9253,23015.23399,635.4230442,2602800,1138500,535500,179100,21600,239.3386554,5438.554854,4803.663673,,13095.03804,2769.101493,18
109.5,0,1.7,0,108967,143947.1815,5422.875399,4055.261302,16532100,1665000,982800,387900,87300,57.46806296,15103.84133,9153.778005,1009.778774,15541.41058,1161.641965,0
399.8,3.2,2.7,2.09,115761,218412.4753,2868.746946,3225.244067,6091200,1393200,719100,21600,14400,280.0629063,,,,28059.60331,,0
3048.1,2.7,1.4,4.7,50742,67226.47518,250572.2733,6827.58436,1072800,531900,450000,576900,652500,292.0694699,2802.721961,1697.18682,3372.861416,15310.48787,,75
6515.1,10.1,1.4,15.6,28081,55783.39466,36966.08768,38.63118427,0,93600,285300,149400,95400,2063.386601,5424.094459,4178.880246,,5048.137583,,59
348.1,3.1,1.5,4.45,55979,100693.3634,10606.48809,515.0720152,3225600,604800,394200,99000,22500,238.4237661,4443.908851,2236.281313,,16632.08191,10742.44261,0
670.3,2.4,1.9,2.99,102516,120573.0469,9508.79348,3179.672365,2153700,594900,429300,144900,60300,871.9205149,387.0622739,193.5311369,,14647.64471,,0
1579.2,3.7,1.7,23.65,50583,153216.0041,7371.842212,274.8841239,17100,1144800,602100,23400,0,1301.05095,,,,19566.25396,,0
5185.4,16.4,1.3,47.19,27250,44084.69077,15180.77253,7911.096873,0,49500,280800,112500,17100,1663.513048,,,581.941205,8420.79406,,3
4723.1,10.8,1.2,35.84,22832,69659.51341,36362.06692,799.2557108,0,10800,261000,234000,56700,1771.707997,2274.865581,2189.506601,1643.7147,8751.802426,,58
1765.1,0,0,0,0,0,305689.134,11274.28701,1271700,497700,627300,656100,440100,0,7048.926856,4177.882897,,6829.135394,8081.385655,9
1121.7,0,0,0,0,2019.282043,159194.1289,849.5479987,1432800,430200,482400,369900,228600,0,4837.368119,4434.867612,,4352.618725,5419.237221,17
724,5.3,1.6,28.33,35785,104652.2569,11643.21172,906.2643282,1903500,1062900,431100,97200,31500,471.7483938,,,5223.058811,14034.57412,,10
3618,6.6,1.5,7.06,38579,28608.19631,237241.0127,52129.53095,22500,195300,609300,735300,342000,214.5307602,3150.079267,3150.079267,,15031.48874,,18
2059.6,6.7,1.4,28.57,35000,6013.434054,38909.09964,3202.604175,0,414900,115200,84600,72900,135.8064377,1443.886584,1443.886584,1533.588463,4487.190108,4978.417348,22
3966,14.7,1,30.18,26544,78052.78654,32662.94495,2313.968806,0,104400,385200,257400,30600,1941.529007,666.2476263,666.2476263,1946.332856,12053.20154,1302.293844,16
1608.5,10.1,1.7,17,55850,104926.9936,7039.492742,272.7414213,72000,804600,434700,9000,0,1060.203896,,,,13631.25574,76.9720928,0
3494.6,4.5,0,16.07,53933,159098.4207,66440.86817,1141.376641,59400,1001700,880200,235800,121500,956.3961646,5933.586045,4572.662848,,18274.0701,,31
448.4,1.4,1.3,18.63,35758,102744.3253,9557.327716,2295.579233,4750200,888300,331200,55800,3600,431.330983,2623.330048,2623.330048,,15286.32874,14.41306179,0
770,8.8,1.6,18.34,41005,85220.95233,24103.4349,578.3770962,1425600,858600,522900,119700,40500,448.940255,12077.12736,7115.58781,2805.633093,11545.25531,2813.252283,0
1586.1,0,1.7,9.94,45822,88978.02194,14926.21198,410.2881161,36000,670500,339300,63900,10800,1281.299413,2605.687182,2605.687182,17.19919562,12559.26247,1906.211644,0
1613.5,1.1,1.7,4.6,45101,53188.13772,4081.263119,0,183600,288900,231300,77400,2700,1443.032781,1044.161846,522.0809228,,6394.644767,1320.535313,0
174.2,5.8,1.8,9.63,54727,131364.5877,4352.260884,693.7286321,8673300,955800,542700,43200,1800,125.6386859,9128.232447,4564.116223,203.3197777,21668.49704,165.7470932,0
1985.9,1.2,1.7,11.37,66021,178753.8893,12125.16167,846.5114978,36000,879300,578700,117900,4500,2159.726607,2150.191648,2150.191648,551.0163886,21206.07392,296.1930964,5
1218.2,6.2,1.9,21.57,49739,160753.9085,18691.9588,428.216757,474300,1612800,473400,79200,9000,1018.800322,2410.169132,2410.169132,,24473.26571,14.03927839,14
1390.1,5.7,1.4,18.55,33115,138657.7116,41929.70006,943.166995,463500,1396800,561600,178200,62100,939.6348302,4265.451547,4213.809787,13.17239586,21736.52582,4205.567187,0
1695,0.7,1.6,12.62,34180,127846.9791,39919.40607,2340.218902,439200,1345500,710100,187200,61200,1143.458177,8863.432887,4824.39437,1524.858507,20168.35171,639.3514649,0
654.7,2.1,1.6,36.01,42875,57556.92016,29749.99564,2620.110442,851400,606600,329400,111600,17100,665.6006932,845.9656632,634.3065526,,13692.35531,4659.234834,0
874,1.7,2.3,5.75,126335,225839.8352,12264.08952,311.6504099,1487700,1884600,210600,33300,2700,583.010185,3420.220896,3420.220896,,29253.43449,3885.446872,0
1402.5,4.2,1.6,2.99,83840,131936.455,36013.97212,462.5110381,1595700,1303200,273600,69300,3600,748.933254,1489.040373,1489.040373,,19439.23021,11020.22641,0
263.8,6.2,1.7,23.17,46973,36803.27606,109148.8959,2578.713703,6832800,780300,585000,372600,226800,75.59623637,12038.85841,12038.85841,,5974.836477,6831.69733,0
332.9,0.7,2.5,0,118623,138086.653,18363.02511,4625.541838,4854600,1400400,557100,140400,36000,163.6907734,2600.332694,1300.166347,,24179.60168,,0
473.4,1.4,0,0,103533,314922.4385,31576.78249,2725.641039,5382000,2014200,1062000,468900,53100,253.8288095,3073.512714,1536.756357,,36099.97724,,0
116.6,1,0,2.88,93002,68214.40965,2182.565372,5152.523475,4754700,828900,218700,15300,2700,125.1052329,,,,16130.66108,11626.79736,0
400.9,5.8,1.9,5.6,76940,190472.8871,19133.08901,8281.157632,7874100,1755000,889200,186300,69300,219.3109322,8041.81753,5488.248972,,24279.55601,,0
244.3,1.4,0,0.84,79679,158609.2548,829.2043403,3727.285724,4084200,1917000,444600,81000,1800,229.6708315,,,,24758.1032,,0
600.3,0,1.4,17.43,37447,122265.8286,4579.548454,2972.0473,1853100,1242000,668700,86400,24300,519.2783937,4015.749415,2007.874707,,20875.02688,,0
652.7,9,0,7.54,54702,110471.6801,47051.53513,4615.742665,4009500,862200,641700,203400,50400,278.4145769,7485.335387,4708.640244,,15709.71038,,0
833.6,2.3,0,27.94,32398,16282.64685,101378.7295,8307.34812,999900,734400,960300,765900,602100,59.23141976,1408.730185,1408.730185,821.2964796,11925.40003,729.1854599,39
4979.9,1,1.4,15.03,44748,64336.65832,62380.04913,5574.217036,305100,348300,374400,160200,104400,984.4812494,2010.440957,2010.440957,29.03352025,15460.96334,8030.78812,33
1956.1,5.2,1.5,16.03,34219,117990.038,20889.6988,876.5401501,196200,812700,482400,69300,42300,1494.270657,1725.632382,1317.138423,3261.799598,16838.73096,566.307777,6
2231,2.1,0,0,63126,88958.22424,23999.74236,371.0522193,1800,225000,613800,136800,24300,1358.616886,4099.234472,2694.078822,3001.909394,11483.44975,46.40068148,18
3076.1,5.4,1.4,18.68,37237,60947.60072,22486.94833,0,0,166500,378900,130500,49500,1991.791554,3709.267619,2278.325262,2930.640128,6679.449665,,5
2283.9,4.7,1.5,19.02,41089,36778.53122,20110.15688,0,19800,485100,151200,40500,31500,1188.475778,568.3380948,568.3380948,852.5979063,8109.460462,55.80165457,35
1883.4,0.4,0,4.09,45861,101945.4784,2352.273062,893.2886103,82800,691200,389700,14400,2700,1414.985178,,,2172.777774,15265.42702,,20
3416.5,1.6,1.5,15.34,41731,53784.74545,57268.19642,2346.248488,128700,718200,486900,291600,107100,1169.2579,3542.495056,2088.094266,3488.848644,8744.951301,,17
3984.3,3,1.5,19.91,35676,41388.71591,88896.09524,22158.14924,900,217800,476100,350100,212400,750.781836,5378.864128,3596.57911,1550.388873,8622.070231,,53
4432.1,1.7,1.6,19.66,37868,113050.3436,131035.0419,3335.745997,337500,582300,691200,437400,235800,1374.544802,4750.97538,3682.383119,2975.425485,15749.82984,,45
906.1,2.8,1.8,14.83,45297,179167.9813,24945.22264,947.7169985,1699200,1438200,635400,171900,50400,600.5084975,1144.201892,1144.201892,,24695.00374,53.58490995,7
2710.3,2.9,1.8,16.24,42077,189340.8196,49775.66548,849.0468811,0,726300,1006200,298800,86400,1585.716095,5630.192183,4097.070367,1029.168656,21178.67409,66.60576294,8
1502.1,6.6,1.8,13.36,40000,53395.2956,5605.065043,458.919413,86400,512100,216000,28800,12600,878.3502672,,,4402.810849,6458.040465,,3
1681.9,6.4,0,9.66,43683,105166.8123,18885.61214,690.5957942,83700,502200,466200,50400,7200,1207.708789,,,1729.92074,12150.32992,,0
2558.4,7.5,0,31.75,34042,48275.07256,201.9113656,229.6293907,0,277200,195300,5400,0,1808.655699,,,462.0373485,7287.424074,,0
1869.4,2.5,1.6,19.24,48304,66333.26322,12503.67183,395.6582968,15300,513900,309600,48600,26100,1645.248539,1034.284147,991.7736139,3012.990853,8194.378313,19.55486912,17
2546.3,6,1.2,36.71,22509,8080.490458,22956.06465,3395.503447,0,35100,95400,127800,90000,607.1311732,767.4271496,767.4271496,855.3454691,2533.681137,,36
