No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
32,2530,88345,326,1089,529,143,386,710.4,0,2.1,0.744590423,52,10.16,945,4958227.519,82454,136,452,1693,0.15706548,0.58830057,0.2109421168,0.7900995659,0,0,0
33,2220,90659,889,0,2081,908,1173,395.7,2.8,0,5.259002403,18,2.36,2562,1902828.009,76127,126,11816,3316,4.10594184,1.15227684,0.780745382,0.219105593,0,0,0
34,610,44059,3,7,2360,2353,7,2319.9,0,1.4,1.017261308,0,0,15,57599.89065,42500,70,628,2306,0.21822372,0.80131194,0.2145208102,0.7877149496,18,18,0
35,290,30335,114,93,18598,18363,235,28080.9,18.8,0.9,0.662280728,37,35.92,340,2006204.123,24661,41,107,1791,0.03718143,0.62235459,0.05614149473,0.9397141781,705,821,116
36,2310,96930,670,1349,1018,147,871,643.7,4.9,2,1.581575566,24,3.57,1709,4216406.361,81301,134,2483,2066,0.86281767,0.71791434,0.5455431208,0.4539235149,0,0,0
37,1930,121781,1059,0,1599,212,1387,1236.9,0,0,1.2927047,0,0,2614,7891857.133,93323,154,613,3100,0.21301137,1.077219,0.1647796051,0.8333063228,0,0,0
38,2110,100404,886,1398,1080,173,907,1002.7,4.8,1.9,1.077087138,24,3.31,2073,7525045.503,61337,101,1102,1992,0.38293398,0.69220008,0.355527391,0.6426593129,0,0,0
39,2100,78017,935,1814,2248,1356,892,2490.9,3,1.8,0.902473499,56,5.51,2038,8827817.318,55207,91,28,2571,0.00972972,0.89339679,0.01078116976,0.9899424094,0,0,0
40,1520,75676,125,211,2810,2657,153,2941.8,2.4,1.7,0.955238753,8,6.45,276,1128963.908,55715,92,404,2342,0.14038596,0.81382158,0.1469642637,0.851956202,0,2,2
41,1500,47078,32,40,1929,1898,31,6631.1,0,1.2,0.290886183,4,12.5,73,980728.772,37752,62,93,746,0.03231657,0.25922754,0.1110969578,0.8911648444,6,14,8
42,1480,145332,497,917,1558,1202,356,2193.4,0,2.1,0.710318214,49,11.37,976,5370492.118,91345,151,122,1923,0.04239378,0.66822327,0.05968280014,0.9407379071,399,375,24
43,2000,75975,768,1300,1390,487,903,1210.3,2.3,1.7,1.148487708,46,6.02,1612,5484585.351,55649,92,1095,2208,0.38050155,0.76725792,0.3313065933,0.6680593224,0,0,0
44,2050,87950,1251,1494,1902,511,1391,1995.6,3.6,1.4,0.953075061,162,15.52,2610,10702643.6,57829,96,437,2305,0.15185313,0.80096445,0.1593296648,0.840400177,0,0,0
45,2030,48115,403,368,1610,1223,387,6507.7,1,1.1,0.247399344,37,11.38,790,12479178.05,40463,67,42,665,0.01459458,0.23108085,0.05899199151,0.9340398655,226,193,33
46,2020,48115,582,343,1471,899,572,4349.5,1,1.1,0.338165297,34,11.22,1165,13462880,40341,67,28,948,0.00972972,0.32942052,0.02877208302,0.9741405251,113,76,37
47,2190,104006,822,1774,1483,350,1133,1137.2,1.9,2.1,1.304099383,49,5.9,2376,7121309.732,79400,131,1408,2342,0.48926592,0.81382158,0.3751753328,0.6240487425,0,0,0
48,2060,121132,49,73,1535,1113,422,4613.8,1.8,1.7,0.332684871,0,0,1474,17313726.81,71980,119,54,904,0.01876446,0.31413096,0.05640310587,0.9442297723,0,0,0
49,1580,48757,558,802,1121,563,558,1841.9,3.8,1.4,0.608611291,39,6.94,1085,6962842.388,35000,58,589,1163,0.20467161,0.40413087,0.3362928244,0.6640213154,25,15,10
50,1940,133319,950,2153,1534,231,1303,289.7,3.9,2.1,5.294734756,60,5.96,2578,1900273.495,102836,170,12219,3027,4.24598031,1.05185223,0.8019250266,0.1986600422,0,0,0
51,2320,96845,589,1185,1062,239,823,1464.6,4.9,2,0.725090065,22,3.72,1610,8663575.768,81212,134,789,1293,0.27416961,0.44930457,0.3781180066,0.6196534633,0,0,0
52,1910,78827,549,694,1190,532,658,740.1,2.8,1.4,1.607760096,23,4.8,1215,2950012.891,50720,84,2948,1676,1.02440052,0.58239324,0.6371600605,0.3622388946,0,0,0
53,700,75397,362,471,417,193,224,1125.2,0.4,1.7,0.370573367,63,22.83,774,8159110.139,54085,89,159,903,0.05525091,0.31378347,0.149095739,0.8467512723,30,27,3
54,790,53753,936,1490,1483,455,1028,1795.6,1.4,1.5,0.825929523,160,16.51,2088,9872119.354,39659,66,373,2008,0.12961377,0.69775992,0.1569307869,0.8448177485,0,0,0
55,800,85342,402,783,1165,675,490,1727.2,2.3,2,0.674450917,25,6.36,940,5442017.424,51769,86,607,1335,0.21092643,0.46389915,0.3127379987,0.6878175095,0,0,0
56,1300,54809,449,0,866,390,476,2817.2,5.3,0,0.30737409,100,22.78,1006,12795040.3,38451,64,0,884,0,0.30718116,0,0.9993723284,268,234,34
57,1340,49952,447,901,975,491,484,822.6,2.9,1.9,1.185348052,45,9.7,1047,3452405.13,38788,64,1546,1863,0.53721954,0.64737387,0.4532167063,0.546146652,6,10,4
58,1310,38538,391,0,520,2,518,2381,7.4,0,0.218376316,117,31.45,942,16862869.58,33711,56,0,629,0,0.21857121,0,1.000892469,0,0,0
59,1840,73252,621,0,797,140,657,1373.4,3.7,0,0.580284188,98,20.5,1376,9256661.92,59959,99,50,1619,0.0173745,0.56258631,0.02994136383,0.9695013609,0,0,0
60,1820,61014,520,667,763,90,673,467.1,3.1,1.7,1.633515252,59,15.28,1196,2856967.81,42279,70,3317,1380,1.15262433,0.4795362,0.7056097754,0.2935608954,0,0,0
61,1880,52348,375,505,1791,1293,498,3418.6,4.9,1.6,0.523851385,62,20.13,958,7138215.919,36880,61,45,1463,0.01563705,0.50837787,0.02985016447,0.9704620138,0,0,0
