GEOID,Label 1,Label 2
GEOID_4706500002510,5403,2372
GEOID_4706500002760,5978,4014
GEOID_4706500001950,5295,1170
GEOID_4706500002240,8800,3189
GEOID_4706500001960,4553,2706
GEOID_4706500001970,2057,2235
GEOID_4706500002230,4426,1987
GEOID_4706500001370,1114,3405
GEOID_4706500000660,344,1086
GEOID_4706500001110,216,1563
GEOID_4706500001290,2,1128
GEOID_4706500001400,0,812
GEOID_4706500001220,22,788
GEOID_4706500001210,92,1219
GEOID_4706500001460,136,1796
GEOID_4706500001380,1,1403
GEOID_4706500001470,374,2150
GEOID_4706500001570,1928,2502
GEOID_4706500001560,0,2353
GEOID_4706500001200,96,855
GEOID_4706500001330,93,1140
GEOID_4706500001320,0,527
GEOID_4706500001230,17,1011
GEOID_4706500000320,0,391
